""	CD2	CD3D	CXCR3	CD3G	CD8A	CD8B	KLRD1	KLRK1	KLRB1	CCR5	KLRC1	CD247	ITGAL	DPP4	SIRPG	CD47	CXCR4	CCR1	ADGRE5	FAS	CD53	LAG3	PTPRC	TRADD	CD69	SMAP1	TNFRSF14	CD44	SELL	ICOS	TNFRSF1A	PILRB	TNFRSF25	CD226	S1PR4	TNFRSF1B	VSIR	ITGB2	ITGB1	CD4	SLC16A7	TSPAN14	ADCY7	RACK1	CD9	PTGER4	JMJD6	HAVCR2	PTPRA	LPP	TSPAN5	CANX	SLC1A5	CD74	SORL1	ITGA4	C1QBP	CD81	GPNMB	APLP2	CD63	HLA.DPB1	TREM2	PLAUR	CD68
CD2	1	0.940862202849188	0.951376157085686	0.931722605773047	0.917710137975902	0.799189578628726	0.751272515984358	0.871652508853845	0.281300619814664	0.685568838348683	0.622520717959087	0.871524319504044	0.413105440082614	0.274955634259721	0.82175219195877	0.470390821126793	0.798126781584212	-0.207094107873197	0.86417631969218	0.200043018165233	0.483054115919782	0.871131777718487	0.833400890048233	0.273016551930295	0.472471229958572	-0.331342953556639	-0.0216663520123956	0.0755108452291575	0.109231080410605	0.898359427155229	-0.405470065248657	0.71089511841171	0.204663765678025	0.796577431922951	0.284994425747901	-0.410404598106349	-0.246951078177739	-0.218241222659044	-0.171705479981837	-0.426997803985777	0.737286034913923	0.328715773486273	-0.314135489802985	-0.20245687781491	-0.636073027334447	0.144572733416903	0.197828451400201	-0.399033979175281	0.0670285722727971	-0.248546811759002	0.749940114898666	-0.428720371848676	0.073990833444187	-0.383392220844457	-0.671395923245025	0.137204619662482	0.0964119625882782	-0.554027471836383	-0.636072224314038	-0.582615747329981	-0.432049840503651	-0.372395686948144	-0.394166150516391	-0.654725276589794	-0.611330775863935
CD3D	0.940862202849188	1	0.916760641601875	0.977261649165782	0.920524883364472	0.904001895143726	0.672996800035972	0.902301928895048	0.414276904010307	0.644021548337791	0.593068618419405	0.91649219134849	0.607118274556067	0.391114992556779	0.940578542671927	0.582819192192386	0.859098678361681	-0.24675145371234	0.880500356366441	0.348380138024535	0.494613691201311	0.826351723243287	0.829179298963053	0.409545829749532	0.696993308384523	-0.20994903420541	-0.0400476069871605	0.139749956832043	0.340135617184646	0.869740577786145	-0.379196022881273	0.657677282229801	0.348405499857962	0.771942890194981	0.531286228821444	-0.404140153095953	-0.193739245744908	-0.199284895911059	0.00263709772880805	-0.41791693466041	0.806561842679126	0.377911471438475	-0.357387208571105	-0.03525542066196	-0.631582061742325	0.308804431676971	0.154670146979515	-0.430178061564212	0.0841141080895175	-0.175285708045768	0.789614213320947	-0.398178691719209	0.141802022267188	-0.374048304503706	-0.624434654340509	0.272438052122184	0.198628544885108	-0.570685300122264	-0.676234290370645	-0.572867971157907	-0.431060158834249	-0.350121321943209	-0.393553898276975	-0.64793794392159	-0.629458515430938
CXCR3	0.951376157085686	0.916760641601875	1	0.931508627439972	0.863090522488696	0.754319816237648	0.7012633651401	0.851417871392833	0.269036297787533	0.673652554029555	0.612140387415622	0.841311068817539	0.511813483843929	0.353084102564135	0.807816285966958	0.521435814501939	0.827973038858249	-0.164568114315967	0.92077310796193	0.184227635575256	0.529943146393742	0.809620546307573	0.820300963638718	0.315377674790099	0.489352471099189	-0.26883954037062	0.0187031840182127	0.148554295509275	0.137364139260176	0.878219439314763	-0.333791892616991	0.701201681944784	0.183264794332152	0.749424231339287	0.341824342810032	-0.372804921278167	-0.171887804872947	-0.160696047011595	-0.103875641968715	-0.343171353139588	0.75609159786157	0.355464260868238	-0.330206729647831	-0.0842549366074869	-0.574863519736662	0.226635326902429	0.28937860446214	-0.363074455185237	0.131170959744889	-0.101591497982703	0.745061344091628	-0.346221852992921	0.159131320803296	-0.314545658932144	-0.620822472357273	0.220246253005939	0.204870735136302	-0.5209951729937	-0.631989136544188	-0.524063855178911	-0.363593000755011	-0.301282245085476	-0.336390591571959	-0.599035971762582	-0.573999220897485
CD3G	0.931722605773047	0.977261649165782	0.931508627439972	1	0.899635545611555	0.873491424758489	0.618381540597901	0.860724202311135	0.350590997412708	0.647205476271261	0.535790911080356	0.879560657132919	0.581945335588373	0.389673583854994	0.901414862455409	0.514059940395419	0.829475704849353	-0.293215160953925	0.896560406780946	0.292427994474591	0.424450274128984	0.828684378622266	0.774441191188815	0.394844583448907	0.631332376608263	-0.278561308420818	-0.016795012445207	0.126456336622685	0.324577819436443	0.836524510125825	-0.434448339157149	0.597275932322327	0.3158653708759	0.75349744352328	0.524382558313116	-0.443026965523917	-0.254826612801661	-0.270331412599975	-0.0796373202467622	-0.456743243591277	0.757028703917315	0.299131596084327	-0.406004442744347	-0.0889352005906114	-0.650488642367051	0.270061204145761	0.161823405669306	-0.487094521747281	0.0691140872515403	-0.204240436640387	0.729034325172556	-0.441967852278243	0.0597217870839631	-0.428770278468148	-0.67277468134149	0.198060478085859	0.128433335889732	-0.602566472781173	-0.667656943997593	-0.617420936717391	-0.489127781855994	-0.400257501813349	-0.447369753170516	-0.676258057629436	-0.653590053230364
CD8A	0.917710137975902	0.920524883364472	0.863090522488696	0.899635545611555	1	0.884140211291719	0.741755736978127	0.94860705682577	0.260523960066471	0.785132460499067	0.555924683329594	0.88283961484935	0.445531377499618	0.121406787886996	0.876078236079719	0.354240753793765	0.818627402320288	-0.171948490707115	0.837281049866937	0.110554100913504	0.413317708318694	0.942656307335864	0.79070697401371	0.110622570573552	0.527820922997536	-0.338987269142228	-0.149466755133456	-0.0224867552018073	0.079321549325436	0.836465142686392	-0.425354660312233	0.608356712704917	0.0974918125769655	0.663137881175184	0.302584496775366	-0.459164014711113	-0.301008974521663	-0.232051710141012	-0.214703471746984	-0.500148538110079	0.793505421551779	0.202975042747776	-0.320802604607457	-0.255646797310662	-0.627889321134258	0.161113971894224	0.274552749152733	-0.410685780354274	0.0166055110933123	-0.293307782211989	0.631140626146159	-0.435539016037489	0.0496995558416781	-0.416104639998141	-0.700225967809246	0.0784934667605336	0.0439352233650959	-0.563883050395945	-0.603022633675611	-0.603198013111268	-0.445325034528852	-0.390272111362024	-0.428195839600895	-0.662273055649406	-0.606016814297677
CD8B	0.799189578628726	0.904001895143726	0.754319816237648	0.873491424758489	0.884140211291719	1	0.643823988026412	0.862832304848402	0.461011508742664	0.594689057157047	0.467559004521386	0.815917389232304	0.505729390061523	0.394341057612624	0.86816372120223	0.427296458742476	0.756363904240963	-0.359332121080236	0.778216979996174	0.375980050887692	0.28309640736726	0.780644247970771	0.668289787379719	0.299599378759767	0.753150109270499	-0.318947118384786	-0.213815419865173	-0.0827921566400854	0.418400930624073	0.731160263848809	-0.521072061791967	0.455227796502627	0.398150916464483	0.711690946957813	0.624930539480726	-0.554825835012346	-0.330311412879991	-0.346248554559678	-0.0777815543573468	-0.568744941140156	0.677240644278149	0.110272149992248	-0.462522977770534	-0.138454019321908	-0.71406506617192	0.172423667541991	0.0681031398186155	-0.555527987679307	-0.130546352058367	-0.257319771614775	0.636834479543435	-0.512628149314161	-0.0277916401305089	-0.49746532829361	-0.676698301502114	0.150211890981141	0.0118676713460167	-0.66891032861977	-0.68155629578909	-0.672452793204517	-0.564873467544692	-0.485867230201757	-0.504842141676683	-0.733293503368137	-0.69458866174067
KLRD1	0.751272515984358	0.672996800035972	0.7012633651401	0.618381540597901	0.741755736978127	0.643823988026412	1	0.810657071808019	0.53948081537772	0.411218396701592	0.828655552619591	0.753721254407762	0.211684452586127	0.212390583532137	0.541549997589024	0.176830044136257	0.531685235087446	-0.330342665581888	0.731823253699757	0.0680046030510069	0.193923686922326	0.687221233484898	0.56468825822371	0.0853825038888698	0.373064366117892	-0.463709528799012	-0.188327440031273	-0.128181027834683	0.0685424206590918	0.674210496089344	-0.498106076868628	0.6360936691009	0.21541745975361	0.631765804431204	0.188942212900724	-0.499715906660233	-0.424011662759817	-0.374176157048421	-0.252947173561055	-0.552202025520857	0.484554976012811	0.223041503055648	-0.371356649637729	-0.31142988069012	-0.541492420923459	-0.0954984732422296	-0.0515604867162781	-0.466917550611592	-0.0254919940289605	-0.304971280800334	0.577026206013134	-0.567795940250979	-0.144750864917317	-0.49235475118573	-0.65929393654312	-0.0262882123401283	-0.104665664552534	-0.590454758164056	-0.576748432260549	-0.641643592479772	-0.478859471952295	-0.494840941659921	-0.48385382548494	-0.680340329404002	-0.623548440687721
KLRK1	0.871652508853845	0.902301928895048	0.851417871392833	0.860724202311135	0.94860705682577	0.862832304848402	0.810657071808019	1	0.390487210978359	0.737201705074553	0.708470816095592	0.939094866038603	0.525846447176964	0.168383668949945	0.889037910434789	0.395272779932369	0.831181754801721	-0.145776463868296	0.86098594402207	0.109561066950237	0.443716739232212	0.897292624289564	0.777371587830365	0.118978277155308	0.577438252084751	-0.266363898523269	-0.180095855112053	0.000582099317981108	0.124936356474127	0.863011919090852	-0.371062076607384	0.606914540272681	0.124795454890716	0.645149328028069	0.344174474798378	-0.430029298855803	-0.267731580930837	-0.202944554045377	-0.105125800926327	-0.473944808889217	0.817386958052391	0.278084474752081	-0.359767106377557	-0.168881318781994	-0.555893056189087	0.168695247671129	0.238886061484688	-0.377422183201536	0.101001913484936	-0.255149589544408	0.680861871293066	-0.403615454690221	0.121391315802617	-0.389858105094068	-0.667619414173761	0.135120663190914	0.116384235448622	-0.552197434335554	-0.596298086614727	-0.575912617432237	-0.386535462328849	-0.365796899810401	-0.40984671998628	-0.640367026271042	-0.590703801040156
KLRB1	0.281300619814664	0.414276904010307	0.269036297787533	0.350590997412708	0.260523960066471	0.461011508742664	0.53948081537772	0.390487210978359	1	-0.220771741741209	0.694339452338819	0.488496988802281	0.453847501677399	0.543463374613303	0.396637805327751	0.311487367455276	0.176878033124352	-0.505772204730198	0.404819040874306	0.417365630733508	-0.0397336535783525	0.114914845055849	0.150836558786335	0.56379777788098	0.652345164329408	-0.135839995933199	-0.132322059097956	0.101985153851701	0.734320253867439	0.227216054786702	-0.349431228461911	0.30409217969352	0.711703708293239	0.430371977437009	0.680817970629706	-0.330405476834507	-0.243592699478335	-0.337075221177046	0.228374319807284	-0.393639199629114	0.157019012507963	0.321929507108665	-0.415249108616703	0.211105878042256	-0.287291398910282	0.0794238081784275	-0.512145433652177	-0.466763645616156	0.0236536545924338	-0.0415861620844777	0.449315285528959	-0.44244045203684	-0.170700379353977	-0.397728354943294	-0.284071998692935	0.255925790900969	0.0757907505597546	-0.485315094023621	-0.46699675289144	-0.447363370540139	-0.381376006377254	-0.390421096803534	-0.392143478802276	-0.449723472107105	-0.495027598906281
CCR5	0.685568838348683	0.644021548337791	0.673652554029555	0.647205476271261	0.785132460499067	0.594689057157047	0.411218396701592	0.737201705074553	-0.220771741741209	1	0.258934796223684	0.597303670219599	0.271354998219663	-0.241270558350214	0.681881464053456	0.26047519955818	0.675669367844983	0.290343135551733	0.603403031753408	-0.216914508223182	0.527634567567842	0.83624815637926	0.697468138000959	-0.175209073047856	0.17486998798049	-0.141666193883203	-0.0819262062716581	-0.0589398168060016	-0.330830923876029	0.733631950852072	-0.0797148667228593	0.378117789105846	-0.35721912998648	0.461643931027066	-0.0742247793543707	-0.15260231734227	-0.0123527831037092	0.0861048397686921	-0.133929597914543	-0.166948710169248	0.678493487033633	0.0741159088985511	-0.101077199800885	-0.222179984449099	-0.321857662678544	0.102440520671359	0.699014812198285	-0.0119847100765096	0.174749899561637	-0.209745206624763	0.368888007730945	-0.0281500735207054	0.261254726498426	-0.0610107833971151	-0.426453209748482	0.0276771934734914	0.142135409461598	-0.179316240234272	-0.265876474545484	-0.217237435160945	-0.0618345093262833	-0.0477946654086439	-0.0716119406795276	-0.284385398272063	-0.207041941512765
KLRC1	0.622520717959087	0.593068618419405	0.612140387415622	0.535790911080356	0.555924683329594	0.467559004521386	0.828655552619591	0.708470816095592	0.694339452338819	0.258934796223684	1	0.742609352338744	0.33477917924452	0.205235557498721	0.561874139591204	0.286860027538161	0.420293265681547	-0.235491480716306	0.619188083121277	0.0453886864707446	0.242112748045869	0.512920622473986	0.459238863272151	0.235637658540033	0.380761857298503	-0.208208204148924	-0.097068476558636	0.0642730309941225	0.216231707703509	0.639498197012801	-0.297924151784641	0.573645310715994	0.256567133618282	0.567578849728094	0.261673970572242	-0.284327417746302	-0.263960041494363	-0.248125557428379	0.0422714369698205	-0.385873638898377	0.430401618595208	0.465458447403391	-0.375954768408881	-0.0455059232520166	-0.255609655812248	-0.0130803710440075	-0.122644354067624	-0.32141517237603	0.241956756481016	-0.217048100015794	0.634862122271922	-0.383724728494028	-0.0182720423139329	-0.36738328236597	-0.460655208175681	0.0863575206969894	0.095145155647136	-0.441580418749605	-0.44056806969356	-0.465378034879583	-0.27114711232796	-0.355017595800485	-0.372413534121581	-0.492551914888984	-0.479496751984217
CD247	0.871524319504044	0.91649219134849	0.841311068817539	0.879560657132919	0.88283961484935	0.815917389232304	0.753721254407762	0.939094866038603	0.488496988802281	0.597303670219599	0.742609352338744	1	0.600730486281008	0.288569624453683	0.895472365873411	0.515454285571527	0.826510968048012	-0.204340247690093	0.846503975610846	0.241166999550863	0.486314953499587	0.825942641143214	0.785560860332449	0.298564328342927	0.638963236609566	-0.185928213921299	-0.11181806485661	0.147690134335453	0.278178452672434	0.846726645838949	-0.324876228296003	0.623695043609404	0.260361092571867	0.674939570007571	0.433648459354866	-0.376557147211573	-0.215103009757128	-0.167805774485172	0.00208237643523586	-0.432651991750619	0.814305089486453	0.373845221270126	-0.34331641995634	-0.0431333449949652	-0.522834736136694	0.230744058178751	0.0786887283002922	-0.36700561476517	0.20431227745072	-0.227558620840311	0.737737776931567	-0.391158339711188	0.159871489401791	-0.364055702369998	-0.618881561015697	0.245892005196785	0.210893714398633	-0.548399393522644	-0.612636338718055	-0.543477890056023	-0.362744530958962	-0.331465201390775	-0.386340835873716	-0.608540177924916	-0.587101690088668
ITGAL	0.413105440082614	0.607118274556067	0.511813483843929	0.581945335588373	0.445531377499618	0.505729390061523	0.211684452586127	0.525846447176964	0.453847501677399	0.271354998219663	0.33477917924452	0.600730486281008	1	0.344942413527321	0.671117786289582	0.692698359808657	0.643642527163935	0.0425334883820867	0.627857948161262	0.412382910761718	0.550223686477144	0.299732677361547	0.549463538893502	0.615628693691699	0.744275331148817	0.231528435609203	-0.00249402380463054	0.482553343206466	0.517263274989784	0.392683899852991	0.152675748345145	0.444635615843845	0.313230866783355	0.273184356292777	0.598554381144659	-0.00360067102233965	0.268453143445183	0.235580194914802	0.466851471426983	0.0965410085364092	0.715277791154497	0.47879851165269	-0.086829041808022	0.533372730042686	-0.194838847094064	0.66451926853943	0.148474346351295	-0.0439736323618744	0.322096961980145	0.312698072979239	0.526962808234772	0.0612637862895253	0.5077072191295	0.102679312016317	-0.07783824635667	0.678331110367582	0.651639382266806	-0.106963306024407	-0.438037615206959	-0.0472309362288898	0.0255147219721059	0.144189067335108	0.0625416201174332	-0.12524190704249	-0.215309825534176
DPP4	0.274955634259721	0.391114992556779	0.353084102564135	0.389673583854994	0.121406787886996	0.394341057612624	0.212390583532137	0.168383668949945	0.543463374613303	-0.241270558350214	0.205235557498721	0.288569624453683	0.344942413527321	1	0.262905468384552	0.51788099352656	0.309676983194615	-0.445800354741159	0.393619729683402	0.658626458988966	0.130851240480154	-0.0205536808372073	0.23941302748493	0.642667855219773	0.596198510074374	0.050752569308238	0.15793305706753	0.260384150485515	0.700681834893814	0.238058030531966	-0.224870446593773	0.244629742820756	0.760644268404761	0.481170170115938	0.712106570102602	-0.213480901617829	-0.00832557878703883	-0.169278352979832	0.258001481609171	-0.158050764930866	0.1246022296296	0.236324833327779	-0.261469712571501	0.335873913078267	-0.312493543502203	0.238059075634185	-0.31358973386683	-0.338178663994508	-0.0295666974657063	0.2706133565771	0.467165171825441	-0.220753035751814	0.026710851380829	-0.186078640575618	-0.128831610140705	0.402933025885941	0.165753273095771	-0.407539069983783	-0.41317194880664	-0.274538899926012	-0.292186157910937	-0.191059610334105	-0.207224076446401	-0.302591944697192	-0.365013558855524
SIRPG	0.82175219195877	0.940578542671927	0.807816285966958	0.901414862455409	0.876078236079719	0.86816372120223	0.541549997589024	0.889037910434789	0.396637805327751	0.681881464053456	0.561874139591204	0.895472365873411	0.671117786289582	0.262905468384552	1	0.586306174686184	0.834768945681025	-0.103495999613938	0.770489530888569	0.264266108401436	0.530993271863387	0.779297930155631	0.778653405309625	0.345207562346023	0.708273367989608	-0.0519013517883578	-0.0512552297737092	0.166051997748618	0.349228208294188	0.83475220712594	-0.242278676810844	0.543923699927574	0.273189331953388	0.650193212615347	0.545710235346627	-0.289234634991453	-0.0891375043600699	-0.0755040776527388	0.135516709354385	-0.338162384598438	0.838080089583336	0.410233999947905	-0.308477061657871	0.0686745845379773	-0.479903357304273	0.355408957640426	0.232720617163403	-0.301229115773048	0.147881321485447	-0.154896385707396	0.741140383798207	-0.247559971346895	0.253419501628248	-0.273779319058195	-0.51675336789105	0.315708607813847	0.298965541910984	-0.466857773243334	-0.553649114496771	-0.443055724029401	-0.281562951283129	-0.238039713515892	-0.302402927646924	-0.516682403161989	-0.504229973552732
CD47	0.470390821126793	0.582819192192386	0.521435814501939	0.514059940395419	0.354240753793765	0.427296458742476	0.176830044136257	0.395272779932369	0.311487367455276	0.26047519955818	0.286860027538161	0.515454285571527	0.692698359808657	0.51788099352656	0.586306174686184	1	0.60364961392731	0.192509156707285	0.498725040029464	0.624207852384468	0.808919278280891	0.226403655906578	0.728944423471708	0.696343425229371	0.673122994286823	0.424835978485714	0.138340422130383	0.541542492089043	0.4447806610102	0.498787123269681	0.351886573111084	0.566254288926013	0.367541992804018	0.529710518189415	0.479386248931558	0.160214211156792	0.535732881216019	0.472415150431557	0.662574487434631	0.327162059411608	0.612053301238642	0.597298918982873	0.161074877416445	0.647576880599485	-0.0952284301384047	0.621272577568628	0.248959699668242	0.204021515553206	0.467332000228182	0.497695110440349	0.705530549948163	0.317352249014506	0.69214331273918	0.372707234158846	0.144591662743729	0.826711366710052	0.801641057150164	0.0585158171006742	-0.412034065553652	0.181409577429495	0.267848074767043	0.366245443972124	0.350924320491603	0.038220180814069	-0.063916356372819
CXCR4	0.798126781584212	0.859098678361681	0.827973038858249	0.829475704849353	0.818627402320288	0.756363904240963	0.531685235087446	0.831181754801721	0.176878033124352	0.675669367844983	0.420293265681547	0.826510968048012	0.643642527163935	0.309676983194615	0.834768945681025	0.60364961392731	1	0.062548859410015	0.78909213178873	0.353893657586747	0.691550344363482	0.730465229715502	0.870710804986912	0.329978348318636	0.651556099162794	0.0916878668846185	0.132613093949588	0.377971244538132	0.174314831655699	0.770535360980112	-0.076858616668999	0.609246847075352	0.1038352025453	0.528157967028505	0.408058413126436	-0.101357421031375	0.0959409709065326	0.118169730347667	0.138680170958389	-0.179055445561708	0.872983843836163	0.42627506744568	-0.146337139910042	0.167794379246732	-0.42322591002224	0.534708523564982	0.361611351317111	-0.0975538461921164	0.179646248944403	0.0156917704221058	0.669467404109876	-0.0852468248721369	0.463922708690295	-0.0730687448604389	-0.414558552953791	0.435088551415139	0.403390169185588	-0.390449619543874	-0.425359263781815	-0.284307711054372	-0.123491599712242	-0.0265396700385759	-0.13841064395228	-0.346200796932036	-0.309095485770503
CCR1	-0.207094107873197	-0.24675145371234	-0.164568114315967	-0.293215160953925	-0.171948490707115	-0.359332121080236	-0.330342665581888	-0.145776463868296	-0.505772204730198	0.290343135551733	-0.235491480716306	-0.204340247690093	0.0425334883820867	-0.445800354741159	-0.103495999613938	0.192509156707285	0.062548859410015	1	-0.217156819503941	-0.266729896086782	0.571256629826837	-0.094678366363388	0.195253397397444	-0.164800236584757	-0.271327248647664	0.638205467296519	0.341530081284104	0.379035686226112	-0.524897064916575	-0.00628334679943473	0.823150241944305	0.0361791278762172	-0.551929424979555	-0.272146967234573	-0.500904901707713	0.770916440568677	0.762840443583331	0.83902417446575	0.440505249314198	0.697070702998525	0.126965658618805	0.263780697959003	0.590878992950631	0.40924419721711	0.612309307357497	0.288933151233816	0.676861093277891	0.90783346602175	0.492271145775445	0.415016182345973	-0.153284681741128	0.849496555566838	0.715552299552576	0.805701452448531	0.626579404334625	0.359351608175852	0.547812036394903	0.659460019253311	0.570850180783097	0.794548770908197	0.869379898718888	0.796372061921088	0.764430813794823	0.749510813722086	0.788199272175077
ADGRE5	0.86417631969218	0.880500356366441	0.92077310796193	0.896560406780946	0.837281049866937	0.778216979996174	0.731823253699757	0.86098594402207	0.404819040874306	0.603403031753408	0.619188083121277	0.846503975610846	0.627857948161262	0.393619729683402	0.770489530888569	0.498725040029464	0.78909213178873	-0.217156819503941	1	0.200427237605466	0.448030479401252	0.786625533313637	0.769712002784209	0.338259864735924	0.586755065019607	-0.300170974301075	-0.0728792030155163	0.135447320197336	0.214070286401221	0.77675839649441	-0.346443953646124	0.656290904583059	0.237680622683595	0.700940723388659	0.415230542047973	-0.429581274127644	-0.199166946968087	-0.204869085871855	-0.0825671124234576	-0.363121326527159	0.736144800260497	0.29616797862796	-0.318628594861095	-0.0461354894117676	-0.586186674126977	0.261228893021349	0.230127742586178	-0.40873283896866	0.205321354577855	-0.0179127176892559	0.665889913223632	-0.399504245577933	0.0977893288047414	-0.32956779563674	-0.597468908235643	0.259690542905831	0.185697371292081	-0.508330353776092	-0.682771065918282	-0.546298204315488	-0.409250571732773	-0.310802326203525	-0.345339736855647	-0.610842764227438	-0.602652627131806
FAS	0.200043018165233	0.348380138024535	0.184227635575256	0.292427994474591	0.110554100913504	0.375980050887692	0.0680046030510069	0.109561066950237	0.417365630733508	-0.216914508223182	0.0453886864707446	0.241166999550863	0.412382910761718	0.658626458988966	0.264266108401436	0.624207852384468	0.353893657586747	-0.266729896086782	0.200427237605466	1	0.283554504867654	-0.0688596573099606	0.340911419304689	0.740450211241863	0.722863182504688	0.234674693682423	0.0348904819114606	0.304356461184286	0.694853046234156	0.0405204718263989	0.0307329637084745	0.299593741871376	0.601810991716253	0.289313829642502	0.686960549469909	-0.0459213053791607	0.211609949649061	0.0843835068199451	0.487443747619109	0.0713787563028474	0.211880275990304	0.302792107938895	0.0174811011903086	0.434085052732162	-0.271625516429947	0.524869443879527	-0.319714776977448	-0.0979076949940983	0.0253626988535962	0.318651353408593	0.460106014436902	-0.0116719480200816	0.277090122007637	0.0792196795894814	0.0841522372582938	0.555174550044797	0.348247397836524	-0.1344870551946	-0.396908671773832	-0.0388426234641661	-0.0840045837437417	0.0611175859856314	0.0708374225584553	-0.136329905313679	-0.198954707841211
CD53	0.483054115919782	0.494613691201311	0.529943146393742	0.424450274128984	0.413317708318694	0.28309640736726	0.193923686922326	0.443716739232212	-0.0397336535783525	0.527634567567842	0.242112748045869	0.486314953499587	0.550223686477144	0.130851240480154	0.530993271863387	0.808919278280891	0.691550344363482	0.571256629826837	0.448030479401252	0.283554504867654	1	0.36219360662334	0.835167793704028	0.373961702231853	0.388659656431279	0.475739123242838	0.204565550497461	0.550337514204867	-0.0341060568503176	0.564552954425955	0.55788317992182	0.553312560732465	-0.0688146907511574	0.380561132890913	0.0747125913706588	0.376425097967974	0.683603582057923	0.722679446784695	0.543906567035306	0.473158670126862	0.675371750175135	0.594497145389156	0.400478508244301	0.52945010333672	0.0066575163556843	0.592310390624006	0.553987107400563	0.517235427027461	0.5392311140524	0.442129170121063	0.517271020792201	0.504527914777014	0.870991958491901	0.57988746863144	0.197268847758521	0.78117613657583	0.835606708104346	0.246043015825561	-0.169812229212372	0.375795420000565	0.504398493817973	0.578928523134075	0.549395668088679	0.245742221481791	0.207752326681954
