""	CD44	CD8A	KLRK1	IFITM1	CD8B	CD3D	CXCR4	CD2	CD28	PTGER4	ITGA4	CD3G	KLRD1	PTPRC	C1QBP	ICOS	CD247	CLEC2D	ITGB1	ITGAX	CD47	TNFRSF1B	CD46	CD4	FGFR1	S1PR4	F2R	ITGB2	IL6R	ADRB2	SLC1A5	PILRB	SORL1	ADCY7	LAMP1	KLRB1	LPP	ADGRE5	PTPRA	CD74	APLP2	VSIR
CD44	1	0.300687037296639	0.819360110970514	0.922822551627697	0.874642756504912	0.864594328176386	0.946907051120649	0.820669249877361	0.928579445087241	0.93842899669294	0.471510591022464	0.909430790407286	0.91983544043012	0.866470315005963	0.869119383553296	0.820076801696287	0.843048218731059	0.817485470100137	0.988781636086128	0.419582391668503	0.928324538594547	0.852913458498318	0.929037156881927	0.797026881036717	0.624798290242602	0.937617385892424	0.789904653434441	0.954890920816851	0.634371401173423	0.833148207275047	0.923962417656806	0.616615626209628	0.872668857935054	0.812499615354942	0.611243114307405	0.939649676263098	0.48193086212241	0.905352075994664	0.561950362966494	0.929144719424911	0.944248913539969	0.747426802374138
CD8A	0.300687037296639	1	0.399779814609102	0.541156508188218	0.168376865280935	0.494317379616371	0.51378206654694	0.633703310371998	0.183250952706353	0.491447800131711	0.412292531492253	0.249816277697179	0.519229582529563	0.585315240787644	0.149435815781996	0.162593187976413	0.602459389531282	0.497294721577715	0.376320654625195	0.618696423605948	0.580939924624895	0.634692109093456	0.563814217907603	0.501652024756524	0.606316672694556	0.180940917779705	0.507495076410412	0.332684606593603	0.457073732580289	0.448248233409477	0.361785869144919	0.651352714671227	0.543383694033526	0.543027952351242	0.507007633460496	0.315072364339426	0.896878493559436	0.470455986673699	0.464843198977161	0.381755477284949	0.4137099070894	0.562512810935677
KLRK1	0.819360110970514	0.399779814609102	1	0.728580009976352	0.843273879707688	0.815143525551058	0.797925634431158	0.530815926760893	0.594784848926893	0.68476339223001	0.0115222909927754	0.926765418635275	0.823180824650754	0.759200902551911	0.794691279941875	0.493045353872238	0.886085068580079	0.76317050390909	0.805896374494424	0.382026714583047	0.740369110962925	0.72097534860546	0.783911233626198	0.687914549639394	0.619699104815042	0.794065512008641	0.857605841778322	0.724650931602615	0.561946052810146	0.853156966795694	0.732947103350124	0.646381020686481	0.748102771658092	0.617154935991163	0.563129658635624	0.882165151637811	0.599995575555555	0.901133040455329	0.565100227653064	0.729673688146178	0.792052751184354	0.704337046217194
IFITM1	0.922822551627697	0.541156508188218	0.728580009976352	1	0.677593251567808	0.922692868064857	0.968802683770438	0.915570168985303	0.84509844552342	0.978039528330947	0.588459704300745	0.759554669219496	0.978782344437045	0.924354394594418	0.666808399826426	0.678809343254316	0.897791361711502	0.917178034055087	0.949162770916914	0.446772508631855	0.986808285886456	0.88541985700433	0.936696107668271	0.781017985680182	0.803874189284528	0.879717818320979	0.86069854209109	0.906170474135817	0.55830632980232	0.717944756332769	0.938008268996456	0.784950806112139	0.862434000338547	0.951006138817955	0.793497982837841	0.809673328014317	0.664305602359557	0.912913570712783	0.720507456914797	0.893128478536265	0.942994856747586	0.728841230037437
CD8B	0.874642756504912	0.168376865280935	0.843273879707688	0.677593251567808	1	0.635093971787426	0.746801199840199	0.572203068192048	0.77676731325337	0.710307108888466	0.224055919703971	0.970894808612671	0.710588320427218	0.652234170836674	0.990923240582494	0.813288993014627	0.74563180023077	0.519421709079053	0.861227992226553	0.467285017471708	0.706136156117328	0.732858006381978	0.83225933890615	0.752104192786154	0.321036017756019	0.748079881223643	0.623415823660246	0.824467504931504	0.733013933804079	0.910085619339904	0.653992660779131	0.334830462328714	0.815467807106947	0.478140338656987	0.235982200405967	0.977333802675704	0.329052119496304	0.767070715268174	0.206064559078366	0.847508659710147	0.733999019714152	0.771930914382549
CD3D	0.864594328176386	0.494317379616371	0.815143525551058	0.922692868064857	0.635093971787426	1	0.942649353405817	0.764983063856019	0.746339323341707	0.87119358047998	0.299562181140571	0.774879242210869	0.966020665286172	0.851169342828419	0.601315150549537	0.475595489023683	0.883942732914138	0.957705107828918	0.878785658498324	0.226958447592714	0.902667973653779	0.764083763460566	0.835242684274058	0.583790572731198	0.910786539148727	0.913027363546086	0.93929291283413	0.758132483639253	0.383429136109117	0.630193193254629	0.879164486955657	0.801030677225301	0.731617428180996	0.873104805424058	0.826191339050453	0.760413163201441	0.663523938047302	0.964090963774634	0.79992420267286	0.724981623934146	0.86745542685497	0.536516218921808
CXCR4	0.946907051120649	0.51378206654694	0.797925634431158	0.968802683770438	0.746801199840199	0.942649353405817	1	0.89066239588187	0.856682814286111	0.971224675550443	0.495993826764536	0.824524036637101	0.96525662905878	0.945314864389743	0.73603026026038	0.702401595395163	0.882584860498454	0.904097949460009	0.960845274074503	0.479832030987996	0.977662442216504	0.919369934515487	0.948524162162859	0.775348193663972	0.817396087870174	0.896227152649435	0.858045952466907	0.884791505335384	0.630865059481899	0.785930738553221	0.936447693326295	0.787827709659585	0.893964424821087	0.90918870803324	0.750789362714536	0.857750695847362	0.697657248551074	0.930698204004995	0.725606896608933	0.874965641855867	0.945562149941295	0.72083379775495
CD2	0.820669249877361	0.633703310371998	0.530815926760893	0.915570168985303	0.572203068192048	0.764983063856019	0.89066239588187	1	0.844968516610364	0.950474191957459	0.820735012152506	0.594140085137506	0.830156837430751	0.859563197311718	0.590218629345699	0.769520237749926	0.722884721283768	0.752606823058039	0.857053397582337	0.588137359270691	0.948639276667441	0.896594155662578	0.896525190686918	0.753576076798552	0.666375899759725	0.710820548900755	0.620843387849103	0.86040594181145	0.625219478881028	0.678450635541235	0.830742441229317	0.658798621935832	0.828459996181065	0.865741051982783	0.654831501585092	0.701974551714391	0.668008813330666	0.720821995109134	0.568838956575456	0.828849305596717	0.849592887158966	0.719133652245223
CD28	0.928579445087241	0.183250952706353	0.594784848926893	0.84509844552342	0.77676731325337	0.746339323341707	0.856682814286111	0.844968516610364	1	0.903336666044031	0.649611678362907	0.764291754626998	0.791408712990494	0.71987091003071	0.798764596856752	0.897716365147089	0.638583405029492	0.674815373497803	0.922971439503605	0.31345855059254	0.864485489156514	0.751574546370209	0.84438908151356	0.644761391708982	0.488295439988217	0.876252281768949	0.572369788454805	0.918124374965885	0.528940741629358	0.683562075398265	0.826757878614293	0.400835384772886	0.746196117098184	0.715149261749747	0.476577318007192	0.82778237965727	0.291197604556751	0.73957422130857	0.392852103097929	0.846214538673691	0.838761871019003	0.59752203286161
PTGER4	0.93842899669294	0.491447800131711	0.68476339223001	0.978039528330947	0.710307108888466	0.87119358047998	0.971224675550443	0.950474191957459	0.903336666044031	1	0.668119155439044	0.7549385374938	0.934619923687984	0.929366859441122	0.712034657073908	0.786681252365686	0.828966098407599	0.856005770658111	0.957774608581833	0.521048752840434	0.986143135246211	0.921789509545087	0.94799274105657	0.806325200722745	0.735579850484457	0.862080238188419	0.767243790393933	0.929663554580995	0.644429116368026	0.752471950209785	0.936934421994134	0.729850662598435	0.890914360954465	0.922740130816381	0.716508098657651	0.824796512563242	0.629784900304525	0.854288964282407	0.659982064094913	0.910405290488929	0.944954293905287	0.743672898150807
ITGA4	0.471510591022464	0.412292531492253	0.0115222909927754	0.588459704300745	0.224055919703971	0.299562181140571	0.495993826764536	0.820735012152506	0.649611678362907	0.668119155439044	1	0.153047754124154	0.416699354500019	0.498939615960321	0.283438642489691	0.694115571389773	0.275260563399728	0.338824849256955	0.513749016894056	0.498838480503492	0.629225564738044	0.588042497787759	0.561281010638193	0.520924604028066	0.229444130880821	0.332188441226649	0.115798400721888	0.632854201501421	0.424858477932976	0.335694133684015	0.50556647371054	0.262657107997117	0.507730391664648	0.575397108315578	0.334487857494333	0.322009621579222	0.306572876176363	0.233531941232481	0.196770045795148	0.581324055642897	0.519434443745877	0.492773437502802
CD3G	0.909430790407286	0.249816277697179	0.926765418635275	0.759554669219496	0.970894808612671	0.774879242210869	0.824524036637101	0.594140085137506	0.764291754626998	0.7549385374938	0.153047754124154	1	0.81956941413569	0.726440983903054	0.944390835035599	0.711615260929091	0.849253277469259	0.668045074327562	0.897660292363365	0.396061268170215	0.767725338026946	0.752478770762123	0.859645960271993	0.737584976280738	0.502354172641597	0.831296904865685	0.782647403593821	0.820578600384266	0.662109357425848	0.887203900393878	0.733332022978065	0.487929897270659	0.824966551349448	0.584734459103094	0.40052329265067	0.981994513497824	0.434367052484613	0.887306890798534	0.381191049316677	0.840910656162053	0.792023066601729	0.742358122803012
KLRD1	0.91983544043012	0.519229582529563	0.823180824650754	0.978782344437045	0.710588320427218	0.966020665286172	0.96525662905878	0.830156837430751	0.791408712990494	0.934619923687984	0.416699354500019	0.81956941413569	1	0.911666397827303	0.680898953123365	0.593217008267342	0.946639322628578	0.94738070874232	0.939840135165849	0.378362903802333	0.955369609180519	0.848316409517109	0.916304707598148	0.745071785138249	0.847384906792269	0.906794368743134	0.941067984158475	0.86254450983533	0.520094784354717	0.725910050394445	0.923621489303395	0.81290931157823	0.839834648420676	0.921152710053208	0.804352559866235	0.834826540565802	0.673322145353172	0.970859805954177	0.754590095869333	0.856438822244918	0.928448306105615	0.697485058627134
PTPRC	0.866470315005963	0.585315240787644	0.759200902551911	0.924354394594418	0.652234170836674	0.851169342828419	0.945314864389743	0.859563197311718	0.71987091003071	0.929366859441122	0.498939615960321	0.726440983903054	0.911666397827303	1	0.636373381267024	0.631481338179837	0.866790097517207	0.886652604418078	0.877228536458464	0.646109940992858	0.939276039408517	0.949610602302277	0.903035693960758	0.870274462107732	0.790376050722905	0.776768973967726	0.818162454725525	0.842742697590448	0.707791776466796	0.79921678513012	0.937085661957125	0.894869495027939	0.911953084429166	0.936005535698286	0.794126632540555	0.776184777815148	0.800030040278719	0.848774417132237	0.796323198026123	0.860478585097887	0.94850744069749	0.797655712239113
C1QBP	0.869119383553296	0.149435815781996	0.794691279941875	0.666808399826426	0.990923240582494	0.601315150549537	0.73603026026038	0.590218629345699	0.798764596856752	0.712034657073908	0.283438642489691	0.944390835035599	0.680898953123365	0.636373381267024	1	0.849599108315762	0.698914919148968	0.485448514072802	0.859535947918013	0.484293360392253	0.70505604769529	0.737151623972743	0.828609836627757	0.750420166655859	0.280845972878864	0.734260541898625	0.565649268347364	0.837036599888604	0.742843394057103	0.908549937395405	0.642449640859716	0.289707132268887	0.815411380684526	0.468610643114898	0.208556335991638	0.961411111463702	0.30514638641989	0.727858100985257	0.167245036844608	0.8591934719818	0.728053239516921	0.777923476152703
ICOS	0.820076801696287	0.162593187976413	0.493045353872238	0.678809343254316	0.813288993014627	0.475595489023683	0.702401595395163	0.769520237749926	0.897716365147089	0.786681252365686	0.694115571389773	0.711615260929091	0.593217008267342	0.631481338179837	0.849599108315762	1	0.517172177488527	0.404378488023619	0.814704855201694	0.570411973925384	0.733221342043928	0.756239914917622	0.801671921739166	0.749889966450271	0.187628646383955	0.638319786005925	0.335547910739131	0.87205673638246	0.746254219251104	0.77451443468488	0.659574601467651	0.225721876280222	0.78011642281066	0.523871661572123	0.190862440754061	0.815232286131281	0.235209653121288	0.533880452030424	0.116087682649431	0.849232545033066	0.717158530393463	0.731418050790606
CD247	0.843048218731059	0.602459389531282	0.886085068580079	0.897791361711502	0.74563180023077	0.883942732914138	0.882584860498454	0.722884721283768	0.638583405029492	0.828966098407599	0.275260563399728	0.849253277469259	0.946639322628578	0.866790097517207	0.698914919148968	0.517172177488527	1	0.859023419055405	0.872646496145642	0.482768642914122	0.875729404557917	0.831877201160368	0.900935938492317	0.797606919665152	0.766090262742101	0.781501644044163	0.947737844646764	0.795534305967273	0.597994749257251	0.793954097425314	0.809096617527401	0.793933085188947	0.85693677299635	0.817108173573677	0.7051953750832	0.854279747326386	0.730710820359391	0.950403799609875	0.6576728039151	0.839469941665709	0.850053316373301	0.791034821380213
CLEC2D	0.817485470100137	0.497294721577715	0.76317050390909	0.917178034055087	0.519421709079053	0.957705107828918	0.904097949460009	0.752606823058039	0.674815373497803	0.856005770658111	0.338824849256955	0.668045074327562	0.94738070874232	0.886652604418078	0.485448514072802	0.404378488023619	0.859023419055405	1	0.825149921357346	0.25184897415726	0.890362659677615	0.746024985918142	0.774836870087507	0.614314633170457	0.908959315025648	0.8822182370059	0.918312405354963	0.756458682123695	0.331043067612688	0.581562475489608	0.926302052573793	0.886072749599494	0.691159364110091	0.940762218766172	0.940092375326959	0.664811324654092	0.686222797572661	0.907480986990149	0.908514460814023	0.712310599814849	0.904287299132144	0.544751831573448
ITGB1	0.988781636086128	0.376320654625195	0.805896374494424	0.949162770916914	0.861227992226553	0.878785658498324	0.960845274074503	0.857053397582337	0.922971439503605	0.957774608581833	0.513749016894056	0.897660292363365	0.939840135165849	0.877228536458464	0.859535947918013	0.814704855201694	0.872646496145642	0.825149921357346	1	0.456261928706294	0.954314286367403	0.885307445699519	0.963123989446465	0.806356058442925	0.662638362245818	0.920920674661645	0.804982880806191	0.958768814730675	0.651448230072473	0.835671667917875	0.90776177761924	0.635286458670036	0.89920758542048	0.837286825563465	0.629192978068882	0.935809368339114	0.538253674826956	0.91210816578742	0.56411301415131	0.94858880972888	0.940328824925392	0.774454793355906
ITGAX	0.419582391668503	0.618696423605948	0.382026714583047	0.446772508631855	0.467285017471708	0.226958447592714	0.479832030987996	0.588137359270691	0.31345855059254	0.521048752840434	0.498838480503492	0.396061268170215	0.378362903802333	0.646109940992858	0.484293360392253	0.570411973925384	0.482768642914122	0.25184897415726	0.456261928706294	1	0.528807157464092	0.781722395048182	0.63560318713554	0.830536370533934	0.210389957325791	0.129706946231502	0.254479523447084	0.512000942741761	0.916774366803942	0.74244983313462	0.402725083320348	0.476648114715471	0.770009058671481	0.436070993934141	0.188489081476755	0.509150627739841	0.689445494216865	0.306467744513339	0.206150586800166	0.626035573562472	0.495696797043964	0.8469960570469
