""	FPR1	SIGLEC10	TNFRSF1A	CD86	TFRC	APLP2	TLR2	C5AR1	CCR1	CANX	CD81	PILRA	INSR	ACTR2	KCNQ3	LILRB1	PTPRA	P2RY12	LRP1	TLR4	SIRPA	TLR1	ADRB2	BMPR2	TLR7	HAVCR2	ITGAV	PLXNB2	SORT1	RHBDF2	ITGB1	TMIGD3	ENG	PTPRC	ADORA3	ITGAM	ADCY7	LPP	SORL1	VSIR	IL6R	PILRB	CD33	C5AR2	ITGB2	CD4	C3AR1	CXCR4	CD69	TNFRSF1B	TREM2	ABCA1	CD46	ITGAX	C1QBP
FPR1	1	0.75453610206221	0.771270282737806	0.73037668202226	0.561092755090829	0.842500239620407	0.727134216306085	0.679448910893714	0.832868345570521	0.517200274901852	0.716543698060288	0.399085897050744	0.501859403720487	0.793776867903104	0.507445251035289	0.572999249994516	0.339344836420705	0.575515018309692	0.803908774225005	0.0970298646936148	0.703456794866872	0.599355671380133	0.702228378569794	0.832635948162081	0.683352836508585	0.67196940863763	0.734274617307637	0.650726884640627	0.73191677880249	0.719977085785327	0.736610330636474	0.935365507715224	0.636351379956138	0.751690552121237	0.777980515021045	0.458445025669133	0.753479148916065	0.313529602759069	0.745036424326717	0.795578971491583	0.721943907230397	0.0795298492085241	0.152454279150962	0.697237926059946	0.918371132917157	0.744569117212257	0.783685986436689	0.747316014763983	0.814150414866934	0.810944110870997	0.910183835779593	0.5907452930495	0.513402689882211	0.745162318074283	0.634087314708007
SIGLEC10	0.75453610206221	1	0.712600155841179	0.87243890395804	0.699794261975478	0.726301268808617	0.616353640375829	0.628168192809613	0.704328236170051	0.498870123566603	0.7435537650622	0.510529782730931	0.642226260664549	0.764413521262051	0.728112510743612	0.670289463094081	0.554851409006298	0.72723552081515	0.71204545451857	0.0830482775243282	0.63442459435112	0.395770664453473	0.795333802472764	0.711424008275141	0.686000987741227	0.761071013815773	0.476520115360706	0.639740629595001	0.770995345072901	0.847369288284605	0.746180502878821	0.790382223962817	0.527295279596524	0.770622976113614	0.802070683997267	0.524968140065519	0.771546412862393	0.437790613542825	0.870110225060914	0.896399404209399	0.654545043601303	0.30977390584742	0.294436750971698	0.445016377938451	0.721055897726307	0.780926005489431	0.598202529889002	0.638650353110303	0.624186187603416	0.647869292796559	0.791636572707727	0.520428052584119	0.4872321311654	0.718393331463378	0.550235048373772
TNFRSF1A	0.771270282737806	0.712600155841179	1	0.684616353047834	0.653674442076664	0.910468487729588	0.692801452992405	0.807978751108701	0.718006097469441	0.80667640777705	0.849489101850635	0.490636924023053	0.582556930556367	0.727822700890652	0.67618668447005	0.700291519096153	0.561258957754429	0.405243319322051	0.790232663782957	0.0162117860378197	0.546362761587114	0.457315954328053	0.637925712836155	0.800435305591458	0.64475255142062	0.513398956563719	0.694147675043652	0.592579434539593	0.748319157884963	0.824618550531228	0.886193418065597	0.750660134300851	0.592051340212804	0.916153352934603	0.782523349011142	0.618153396337349	0.827591872346366	0.478184193149895	0.864312188028835	0.759458905913873	0.620526277394487	0.357070119879359	0.309885100997798	0.571336290476623	0.841292700463187	0.760126487904997	0.774437644065633	0.891095963986126	0.764398049581017	0.855627849550255	0.878562790584967	0.774100565542719	0.677103442975078	0.684624729632734	0.559513912695593
CD86	0.73037668202226	0.87243890395804	0.684616353047834	1	0.604570550988642	0.716499434112358	0.704045611255129	0.644091865342875	0.753676682975702	0.48145234217168	0.718588878164813	0.576976242187041	0.709308612978353	0.723263876451583	0.699023722583436	0.540694612223099	0.396801594938763	0.733889119353578	0.64891179587409	0.114304184402597	0.634701180015461	0.43565451402614	0.722640923560073	0.680447098944916	0.514131060115315	0.755081734007774	0.468362240117466	0.595518294743673	0.74539926641178	0.79312962605449	0.677415058633263	0.651977552578649	0.600772861231018	0.749937498343395	0.795494563809931	0.557542327827442	0.686836993309247	0.3519146798767	0.793265161317546	0.808276143781456	0.635918434521485	0.34800514787326	0.157986264345292	0.412067276370579	0.735964548262264	0.885539738251324	0.610999552476337	0.587740302725188	0.561615124278562	0.713065821096965	0.814490532135928	0.548687326862639	0.514707480858058	0.757612581736393	0.533916615258991
TFRC	0.561092755090829	0.699794261975478	0.653674442076664	0.604570550988642	1	0.637794909119742	0.439236530915769	0.82601252419091	0.463935331225038	0.435556404418893	0.775594830992343	0.302182355984465	0.789014567601213	0.370094888817879	0.765008449627062	0.468796674848338	0.688072233872659	0.465705161259389	0.425085013211992	-0.20871292020795	0.509637378856867	0.0105585309112186	0.514539573102488	0.553400779002833	0.605427400061883	0.449972844136311	0.23910479705955	0.517959032729501	0.596803917242082	0.824777672966048	0.476586038043389	0.633474216373423	0.293596612169888	0.693430870307057	0.552720081584308	0.60488862530002	0.658842094795083	0.457125819043384	0.790148847087781	0.67448059149878	0.364979966498099	0.502449626124048	0.510296676621619	0.246858444172528	0.514684618896479	0.54874666751559	0.439900706998663	0.583557832399984	0.410217142157209	0.51490519563583	0.665761456898889	0.683696800803096	0.116549533728652	0.518223327533764	0.536450363170019
APLP2	0.842500239620407	0.726301268808617	0.910468487729588	0.716499434112358	0.637794909119742	1	0.65551614031823	0.748574934772021	0.747202865240484	0.756666114472249	0.845625010481418	0.443564552257697	0.565870126395657	0.697811801721573	0.616744478673501	0.712777235854921	0.571307171192257	0.416144564358651	0.819778960520735	0.010166374474481	0.675266856416865	0.462509919888071	0.672112656802815	0.792834206424791	0.771046214874267	0.580072957000482	0.65292607676406	0.707725827963208	0.726806861073506	0.803824413500337	0.843329633392595	0.793258044630269	0.586267069425849	0.877782874873275	0.730480916167357	0.49547003310035	0.850073395208946	0.545868012744948	0.833665369664992	0.754136613128566	0.596718813771431	0.313040426266281	0.347321517812124	0.552741622628597	0.875185347891628	0.746181711901101	0.840457412111161	0.864636819074646	0.783451410160861	0.822648685228498	0.854448766178309	0.724986771164542	0.677525967941066	0.655679299445704	0.604705412163453
TLR2	0.727134216306085	0.616353640375829	0.692801452992405	0.704045611255129	0.439236530915769	0.65551614031823	1	0.648400004863022	0.809418705752117	0.395053838639121	0.506314873356652	0.268672740598302	0.461786647720927	0.795155119716028	0.585374092417908	0.5479534231086	0.135880945194325	0.548758946941495	0.756852590069781	0.311396819222726	0.644699082293662	0.768981037732809	0.696568437133693	0.794885446605889	0.287739647421745	0.724317197517783	0.761102784925826	0.3631051264722	0.759809773391744	0.634825474296336	0.676166245959382	0.65221481296226	0.782707710572422	0.715737850344423	0.816593707543723	0.531213529525973	0.531624160396721	0.377352921164954	0.680794767761279	0.588533674712664	0.786934749796658	0.0264856638926032	-0.17533479910492	0.654425825921688	0.692239057431294	0.73957401413301	0.552232843710129	0.75890746597045	0.752326414814109	0.860138126365038	0.749917089676172	0.604192791884534	0.568712686491072	0.832224529404987	0.58993367234986
C5AR1	0.679448910893714	0.628168192809613	0.807978751108701	0.644091865342875	0.82601252419091	0.748574934772021	0.648400004863022	1	0.693793373451634	0.624681419088202	0.816178180784151	0.364911366330764	0.707435634665754	0.57573850587075	0.791473661408924	0.514691944869522	0.511566006124797	0.390421958388961	0.597846512259286	-0.251122816714687	0.635183430520619	0.29201075037246	0.501593304627337	0.776667372757445	0.497515578716994	0.47799508962547	0.537737355655208	0.442836207324313	0.731656688909758	0.813622374621259	0.659734280073183	0.692637488901235	0.516974198597787	0.786949316100862	0.741315497603087	0.585072041815255	0.663362512036449	0.367947576877942	0.832317863632853	0.606609415712434	0.514085279941882	0.332257425114015	0.285676078398607	0.555853232380043	0.69756959658212	0.698050626190718	0.537558144286478	0.808941030415407	0.629806268088091	0.71790649711507	0.820248004788238	0.900112645167477	0.301133553511365	0.590364127056812	0.552943590376534
CCR1	0.832868345570521	0.704328236170051	0.718006097469441	0.753676682975702	0.463935331225038	0.747202865240484	0.809418705752117	0.693793373451634	1	0.480346853757251	0.590006010290892	0.342341650167735	0.394628453656303	0.870006515982719	0.53522150644462	0.583222323931638	0.203730854042514	0.561099422376412	0.802077291804876	0.103660978192651	0.754217252796601	0.720667813323458	0.654980907172581	0.832476103875641	0.538185278023305	0.694553995616409	0.839006188094086	0.374342582569238	0.761165675259726	0.654611318919887	0.742215108113364	0.826777928497641	0.712492078105779	0.708352347946768	0.886680826726979	0.394811521861836	0.695790212822555	0.150417684690935	0.710258940585951	0.642487294669318	0.805461686587531	0.0307163787843437	-0.115663689557768	0.791192766720501	0.83516425012877	0.810485849484266	0.620513001087617	0.755789099329119	0.804232421631672	0.788250835823618	0.856065761701379	0.60145444746048	0.514359734978333	0.721919762649016	0.479797627962459
CANX	0.517200274901852	0.498870123566603	0.80667640777705	0.48145234217168	0.435556404418893	0.756666114472249	0.395053838639121	0.624681419088202	0.480346853757251	1	0.796837763021206	0.689558772541576	0.29561562789112	0.460633824987472	0.505533297775218	0.635438882132129	0.654469283428344	0.127935818990419	0.59801970720749	0.0186665032064542	0.285497658022122	0.308443024405412	0.217839535101683	0.652666060616844	0.53165068860571	0.0952928670930622	0.401652359603685	0.492426787981133	0.563399940770135	0.617257953644762	0.767669218320582	0.478627664023348	0.345584511824593	0.802705420833547	0.496972512133099	0.556797471661819	0.788606998135964	0.453511722970411	0.653099957425756	0.504637765134397	0.188672232977786	0.464182059867958	0.556724902959863	0.402386579571479	0.642189539379209	0.558489196054597	0.781427021261193	0.694543492104699	0.598513408893518	0.576498826223536	0.626713531009702	0.566986777373931	0.706885130627958	0.498058235645949	0.151256203394583
CD81	0.716543698060288	0.7435537650622	0.849489101850635	0.718588878164813	0.775594830992343	0.845625010481418	0.506314873356652	0.816178180784151	0.590006010290892	0.796837763021206	1	0.555610429407128	0.670168356045118	0.501549911583514	0.684995401507562	0.702611106347129	0.74621596471265	0.354272305463454	0.671742839947887	-0.037704743737069	0.504422319857228	0.15950554062361	0.525838145609853	0.742220306373336	0.68800209138385	0.383004594919578	0.420697654878426	0.701321671956527	0.595256516165505	0.850673223758235	0.75276067847021	0.709546232565349	0.316072649802468	0.822715591514463	0.610700340293974	0.71890474948981	0.838659544909679	0.544761379693347	0.833803156297523	0.764798334833083	0.352503754217234	0.467830528474016	0.627165081553116	0.316781813110307	0.790985893381808	0.652573847070584	0.773434199280491	0.723537027492982	0.608578823551982	0.707122663266274	0.835774896095095	0.680491307606382	0.501035534059767	0.586326886045538	0.558451802327055
PILRA	0.399085897050744	0.510529782730931	0.490636924023053	0.576976242187041	0.302182355984465	0.443564552257697	0.268672740598302	0.364911366330764	0.342341650167735	0.689558772541576	0.555610429407128	1	0.257092902799232	0.422020776732285	0.448376221898948	0.247812683722632	0.472739314937945	0.433851795429234	0.264625850785723	0.133691253156883	0.0770660142544476	0.243750185736083	0.0600796104252397	0.421316190999072	0.291713424807766	0.0833348967360558	0.0635861507768327	0.327066032028059	0.516558352632979	0.483067449598239	0.462570834662587	0.326421064085658	0.359798888963477	0.629457322703249	0.439170209715024	0.506128983330734	0.592659236747234	0.221390764977892	0.504601995496385	0.521077402147269	0.0710019529895084	0.558960599857595	0.426704312821465	0.311201153900687	0.416358487192032	0.626240697414242	0.584338309256914	0.26583522918148	0.307572709966769	0.287551971616144	0.479671509942533	0.260031150413939	0.537279140500951	0.58380994464723	-0.111857533813128
INSR	0.501859403720487	0.642226260664549	0.582556930556367	0.709308612978353	0.789014567601213	0.565870126395657	0.461786647720927	0.707435634665754	0.394628453656303	0.29561562789112	0.670168356045118	0.257092902799232	1	0.319351405463358	0.668180424089064	0.300152633788406	0.484404379628567	0.561608609657362	0.332791825508712	-0.173726105582402	0.459324802836705	-0.0234761844591206	0.624192252297547	0.395275443313984	0.414640823194098	0.566569595799114	0.202439928067759	0.57185470180643	0.476117128140056	0.771984224871409	0.395957928086793	0.450919014539343	0.248206125112634	0.590704914930786	0.51654766576186	0.559488073814489	0.459378632235487	0.450223504341879	0.678950522543289	0.686409804153115	0.408950070268858	0.43772279337894	0.309018922332973	0.0979626627166678	0.535994087774416	0.597280049319872	0.325090897389736	0.479401792742697	0.253486384128087	0.577450814548581	0.622532951846336	0.666746570038197	0.0730904519629224	0.50159801328803	0.604563276838202
ACTR2	0.793776867903104	0.764413521262051	0.727822700890652	0.723263876451583	0.370094888817879	0.697811801721573	0.795155119716028	0.57573850587075	0.870006515982719	0.460633824987472	0.501549911583514	0.422020776732285	0.319351405463358	1	0.59289364485816	0.57954225911696	0.190600667308279	0.634273719211382	0.804922629120383	0.172552076243051	0.617612628993239	0.788915102600701	0.73069647432358	0.801329342720207	0.487761765673769	0.76494816745963	0.797177883782421	0.344843194451071	0.86043266423515	0.669882527846217	0.800670726827464	0.805626444199867	0.845547837103891	0.74405112188381	0.94324156250804	0.315802226510969	0.680029474306595	0.225748536098181	0.767164787591993	0.717038721053141	0.886564440403479	0.0204990249231291	-0.140451984988577	0.799995707729753	0.732463080942585	0.807774619099413	0.55666268172311	0.763201483109517	0.800796676090918	0.759529868113401	0.811740568307682	0.518112198828292	0.668001390906092	0.754095011887825	0.466918971072647
KCNQ3	0.507445251035289	0.728112510743612	0.67618668447005	0.699023722583436	0.765008449627062	0.616744478673501	0.585374092417908	0.791473661408924	0.53522150644462	0.505533297775218	0.684995401507562	0.448376221898948	0.668180424089064	0.59289364485816	1	0.479778453826468	0.596783911067983	0.621483501007328	0.43864944487666	-0.0885388682605086	0.497855713500311	0.218948284979397	0.52891951147921	0.625616297185179	0.413068763868441	0.584149766409233	0.274629425594457	0.434395984392365	0.759050617264394	0.864569499210348	0.528328243968039	0.522549016685186	0.596578010383118	0.776866940821468	0.726880421386586	0.572343053592391	0.647168795931192	0.557108859318257	0.908013302003607	0.690993406463255	0.504967218215149	0.530501533505459	0.298662097055788	0.354447153944607	0.42571662083447	0.732529188242082	0.382443322085369	0.620883101647693	0.384807490382381	0.532338959176246	0.680399670725801	0.720700781314678	0.328591138390288	0.581875507799218	0.439757633566658
LILRB1	0.572999249994516	0.670289463094081	0.700291519096153	0.540694612223099	0.468796674848338	0.712777235854921	0.5479534231086	0.514691944869522	0.583222323931638	0.635438882132129	0.702611106347129	0.247812683722632	0.300152633788406	0.57954225911696	0.479778453826468	1	0.537265842766331	0.158390323759022	0.834501064686689	0.237574710665793	0.450531863349158	0.423951797608695	0.607176235118795	0.736573444081854	0.589329076978749	0.484272625242613	0.59040260669541	0.560000510015557	0.566075987328967	0.629881240862119	0.809108845413744	0.609407540234205	0.339519262570985	0.666984012190234	0.568712835399862	0.50264232765424	0.708502231075506	0.557769521771278	0.675736464134302	0.567559370176997	0.459428827761418	0.116432790638582	0.398695916255491	0.322239637307897	0.641511465357561	0.431277496398155	0.681384343888457	0.740347184552289	0.743667089502157	0.676921375058438	0.630014953719117	0.389866537816904	0.658673516219033	0.485609258932446	0.55208328612457
PTPRA	0.339344836420705	0.554851409006298	0.561258957754429	0.396801594938763	0.688072233872659	0.571307171192257	0.135880945194325	0.511566006124797	0.203730854042514	0.654469283428344	0.74621596471265	0.472739314937945	0.484404379628567	0.190600667308279	0.596783911067983	0.537265842766331	1	0.189414362382074	0.317300759383815	-0.0698940079394676	0.113631128921911	-0.127925769049796	0.212900648367434	0.376386520836637	0.591506983654797	0.0750822660810269	0.0149506746961482	0.473744712948113	0.354687139724259	0.692700950880364	0.465270459107518	0.388622329533572	0.0302296262158345	0.670489417519935	0.308218226668503	0.527513602098678	0.715176071423824	0.581369629243379	0.640943725013345	0.555470896832993	0.0251759532899002	0.589453000870557	0.781175535020943	0.0402072950686873	0.364435115738147	0.345361582039469	0.464546545790229	0.415347893268234	0.23965267491793	0.304801842183931	0.461760040751983	0.403900012188038	0.288075540752136	0.356180051968988	0.196640557494129
P2RY12	0.575515018309692	0.72723552081515	0.405243319322051	0.733889119353578	0.465705161259389	0.416144564358651	0.548758946941495	0.390421958388961	0.561099422376412	0.127935818990419	0.354272305463454	0.433851795429234	0.561608609657362	0.634273719211382	0.621483501007328	0.158390323759022	0.189414362382074	1	0.318468843063628	0.276291972717845	0.505081722423213	0.394514929587638	0.620563999486333	0.408248152032193	0.380562616111378	0.723623396360612	0.244352884894266	0.452406602957477	0.638208986982464	0.6568945587078	0.301410099296002	0.54648832958452	0.600090955526228	0.542361752293172	0.653721068087469	0.436405346197828	0.468260036542868	0.327760172193288	0.633701992541654	0.790185371949866	0.640682719992218	0.403310988352396	-0.0727073907944179	0.388467544082089	0.451507379367	0.783802848298104	0.324245927602552	0.270824526109364	0.270215290777244	0.447731115476431	0.550861062824043	0.36010312708373	0.234625032821694	0.706934365692627	0.272997548711571
LRP1	0.803908774225005	0.71204545451857	0.790232663782957	0.64891179587409	0.425085013211992	0.819778960520735	0.756852590069781	0.597846512259286	0.802077291804876	0.59801970720749	0.671742839947887	0.264625850785723	0.332791825508712	0.804922629120383	0.43864944487666	0.834501064686689	0.317300759383815	0.318468843063628	1	0.172633583365069	0.673870095917554	0.705039961743148	0.760150309400394	0.867348364732285	0.609906754623315	0.669132487178381	0.83997456066245	0.55892181807718	0.698277855137859	0.627779209494852	0.913225241607895	0.805861614601338	0.606319097748317	0.729182456739106	0.77699102460274	0.385419915163193	0.712299622384485	0.391763487265724	0.706170772684162	0.636685217492569	0.698247666423736	-0.0772081958127047	0.0973346760518768	0.643219648539902	0.847246240237294	0.637386019992469	0.744527807961692	0.864358618955763	0.940348736871365	0.847362331959724	0.794138689803953	0.539638203002693	0.734676413062067	0.682092471351288	0.642796726992655
TLR4	0.0970298646936148	0.0830482775243282	0.0162117860378197	0.114304184402597	-0.20871292020795	0.010166374474481	0.311396819222726	-0.251122816714687	0.103660978192651	0.0186665032064542	-0.037704743737069	0.133691253156883	-0.173726105582402	0.172552076243051	-0.0885388682605086	0.237574710665793	-0.0698940079394676	0.276291972717845	0.172633583365069	1	-0.113187183853368	0.411454696349803	0.134866164912299	0.0808453815850832	-0.0420980137806045	0.100793374317806	0.11040565755053	0.160784883098393	0.0738101432030513	0.0776724805671633	0.037702286194463	0.0466704191535043	0.120130283706119	0.122512671878652	0.0428408126969239	0.423338266773246	0.0966074602330162	0.358628829349366	-0.0137472684668969	0.210881486504632	0.18148990792656	0.168042378007887	-0.104101500855364	0.019397202048951	0.101897545735176	0.129512569468655	0.267665704395144	-0.0480625612199416	0.115211218442682	0.26130278023958	-0.0161730167632261	-0.315602612379038	0.371315258915344	0.40476311221481	-0.0825579210970083
SIRPA	0.703456794866872	0.63442459435112	0.546362761587114	0.634701180015461	0.509637378856867	0.675266856416865	0.644699082293662	0.635183430520619	0.754217252796601	0.285497658022122	0.504422319857228	0.0770660142544476	0.459324802836705	0.617612628993239	0.497855713500311	0.450531863349158	0.113631128921911	0.505081722423213	0.673870095917554	-0.113187183853368	1	0.504046133714732	0.692537427215351	0.671395213095733	0.603502807619359	0.770067385307727	0.602352773185116	0.562644427021892	0.65441210246053	0.565521320390964	0.549678880412911	0.678989975339081	0.61113869332521	0.504800630194121	0.657487426554495	0.206572557500001	0.471744154345486	0.249907954961265	0.636903343738551	0.535198970891145	0.63766119781188	-0.0110356492214563	-0.117394158891491	0.577184641990816	0.673277948326058	0.666979828653273	0.495906160479584	0.613103849465713	0.654347441693894	0.574409061315161	0.641466052726948	0.705807502327005	0.317912668118035	0.496931744185436	0.570598952233381
TLR1	0.599355671380133	0.395770664453473	0.457315954328053	0.43565451402614	0.0105585309112186	0.462509919888071	0.768981037732809	0.29201075037246	0.720667813323458	0.308443024405412	0.15950554062361	0.243750185736083	-0.0234761844591206	0.788915102600701	0.218948284979397	0.423951797608695	-0.127925769049796	0.394514929587638	0.705039961743148	0.411454696349803	0.504046133714732	1	0.462811375316176	0.676559722720095	0.225135834702076	0.562271194514809	0.756188963188199	0.203271724208161	0.682989654841287	0.310926508101136	0.589231932075591	0.547730282884974	0.768171645340292	0.513739279805227	0.680224597728351	0.160412639648437	0.378618421979242	0.126177255474324	0.394394619947836	0.35320824470759	0.69486337069196	-0.20091592448602	-0.393947164104576	0.825606701641816	0.545151686287693	0.594524319950121	0.502552329090746	0.582472839479913	0.766732925252848	0.631485644315477	0.488593831263641	0.311599725840374	0.638147553257378	0.692657671188177	0.203936887974524
ADRB2	0.702228378569794	0.795333802472764	0.637925712836155	0.722640923560073	0.514539573102488	0.672112656802815	0.696568437133693	0.501593304627337	0.654980907172581	0.217839535101683	0.525838145609853	0.0600796104252397	0.624192252297547	0.73069647432358	0.52891951147921	0.607176235118795	0.212900648367434	0.620563999486333	0.760150309400394	0.134866164912299	0.692537427215351	0.462811375316176	1	0.619669780308719	0.557837115699633	0.912573076209372	0.63137746835584	0.579952668367448	0.629812471517883	0.683934958091845	0.685528429476807	0.70723840541849	0.573346506898177	0.584910353965698	0.734387745508357	0.334101085784891	0.531954457347578	0.435271273107144	0.711576916744267	0.774115052028083	0.834323050175444	0.000788010200633477	-0.0401549732098291	0.374844058330256	0.688108570911916	0.634808164784339	0.434996693054922	0.672196065199606	0.637726091694151	0.759432222581108	0.698097684787683	0.50236043731476	0.468017921137177	0.597630735874658	0.792313152736734
BMPR2	0.832635948162081	0.711424008275141	0.800435305591458	0.680447098944916	0.553400779002833	0.792834206424791	0.794885446605889	0.776667372757445	0.832476103875641	0.652666060616844	0.742220306373336	0.421316190999072	0.395275443313984	0.801329342720207	0.625616297185179	0.736573444081854	0.376386520836637	0.408248152032193	0.867348364732285	0.0808453815850832	0.671395213095733	0.676559722720095	0.619669780308719	1	0.530323011341437	0.604223894063431	0.738086001874556	0.513188308077258	0.799687108071279	0.706772103279109	0.844993092395343	0.822667441555522	0.685439149441683	0.806371126994961	0.801235714272529	0.494617087400108	0.727763561567134	0.400495777056506	0.78996530053062	0.666435922913206	0.647349749794454	0.0587687471215013	0.163172918626315	0.731308964707332	0.813090107067941	0.712176038528551	0.742101010199342	0.8614157261992	0.904519917406642	0.80767334216281	0.852770911782019	0.678691770213851	0.629959659171567	0.735359239182044	0.585976600774133
TLR7	0.683352836508585	0.686000987741227	0.64475255142062	0.514131060115315	0.605427400061883	0.771046214874267	0.287739647421745	0.497515578716994	0.538185278023305	0.53165068860571	0.68800209138385	0.291713424807766	0.414640823194098	0.487761765673769	0.413068763868441	0.589329076978749	0.591506983654797	0.380562616111378	0.609906754623315	-0.0420980137806045	0.603502807619359	0.225135834702076	0.557837115699633	0.530323011341437	1	0.452197029707912	0.4115372242571	0.702064353417947	0.543566994516679	0.676456075451186	0.621094909261699	0.738843016724906	0.298091027938954	0.61865969994192	0.511372702650571	0.320244705138059	0.752224277580872	0.365950240349274	0.673526579238234	0.690335857382847	0.422685871084925	0.315971711052216	0.392908371203402	0.389487889363521	0.672552981624406	0.536818531220927	0.652326238901802	0.545482720967065	0.555781195102225	0.474422648737255	0.609845546952664	0.488232675128486	0.398996490021661	0.416592107829084	0.375473081846148
HAVCR2	0.67196940863763	0.761071013815773	0.513398956563719	0.755081734007774	0.449972844136311	0.580072957000482	0.724317197517783	0.47799508962547	0.694553995616409	0.0952928670930622	0.383004594919578	0.0833348967360558	0.566569595799114	0.76494816745963	0.584149766409233	0.484272625242613	0.0750822660810269	0.723623396360612	0.669132487178381	0.100793374317806	0.770067385307727	0.562271194514809	0.912573076209372	0.604223894063431	0.452197029707912	1	0.581025507288377	0.520170635009863	0.713244328302166	0.632334319511136	0.565859729219818	0.644150453954779	0.706804596965508	0.525035813600415	0.775393413849448	0.222917277434828	0.423418145125549	0.343823276980735	0.689812453516963	0.690202387845559	0.839698489732089	-0.0393765134129931	-0.209851803736975	0.470905852577353	0.581852635609541	0.708288464997525	0.364056595299962	0.573932099136318	0.581645952497358	0.651430212175223	0.644417092122841	0.504313430625101	0.390712129011602	0.619252849823881	0.688388481375556
ITGAV	0.734274617307637	0.476520115360706	0.694147675043652	0.468362240117466	0.23910479705955	0.65292607676406	0.761102784925826	0.537737355655208	0.839006188094086	0.401652359603685	0.420697654878426	0.0635861507768327	0.202439928067759	0.797177883782421	0.274629425594457	0.59040260669541	0.0149506746961482	0.244352884894266	0.83997456066245	0.11040565755053	0.602352773185116	0.756188963188199	0.63137746835584	0.738086001874556	0.4115372242571	0.581025507288377	1	0.259420414598851	0.598757242431601	0.441076209802475	0.755751151490755	0.737385328591466	0.616863684597491	0.5587174384218	0.759651047529287	0.238142034876967	0.528712684841069	0.0459694787635842	0.5177872204407	0.433947202317645	0.800735331576321	-0.25687666948807	-0.252855935509183	0.771023895131132	0.77801071981438	0.548545634193047	0.536630835578943	0.80274998985184	0.84715907748634	0.805351817109536	0.730938111596629	0.506685419887555	0.535203649764253	0.55152041487855	0.527953387870366
