""	NCL	CXCR4	CD44	LRP10	CLEC2D	RPSA	PTGER2	CD69	ITGB1	ITGA4	CD2	PTPRA	APLP2	PTPRC	GPR171	ITGA6	LAMP1	CD47	CD3G	ACTR2	SORL1	CD3D	KLRD1	CD74	HAVCR2	IFITM1	PTGER4	CD63	RHBDF2	CD46	C1QBP	CANX
NCL	1	0.924465211658345	0.643339890301842	0.918206244838868	0.676719940510992	0.814110310199301	0.869145368957654	0.804093793868171	0.908979277706476	0.171815101311265	0.839914518675323	0.668360260324509	0.851955619749025	0.702951486486798	0.371684990694684	0.223729985564664	0.777905098836427	0.554700465728119	0.88048382459199	0.491485489167127	0.816617047905457	0.203588419254737	0.567711915604289	0.771225027357909	0.417368903882732	0.827423257761247	0.679089047666521	0.862323933937699	0.751789191974874	0.511007601656408	0.500943761751113	0.546737838481194
CXCR4	0.924465211658345	1	0.801485844286664	0.883025612172261	0.747877514309687	0.675336894565641	0.74286525034691	0.816812109045823	0.875681676486385	0.344346535063101	0.847045725189753	0.796574523098327	0.840668952021742	0.864269406684481	0.504178519214454	0.39315823644681	0.64530706370032	0.658743051625485	0.770565666396981	0.595962005309741	0.819302609416077	0.374302620868388	0.642554295019538	0.7494938063698	0.538143132403077	0.844173462439359	0.818918835800824	0.709258550911037	0.790840392979916	0.592449222597576	0.528720885319856	0.615046190772574
CD44	0.643339890301842	0.801485844286664	1	0.742583095060559	0.850215912358146	0.588152114619304	0.557243770767147	0.578266700352088	0.672430221083658	0.650491664648792	0.835950125606204	0.638575646900755	0.495750948393108	0.812522039011192	0.847865315932133	0.646003827071877	0.16566017576479	0.679349478214456	0.548726584596825	0.169453130464704	0.359347070814596	0.718074948954915	0.84053521139533	0.275703497090797	0.0915777145488937	0.916026816742843	0.768976007177822	0.384082801100753	0.336563250386599	0.229273532485198	0.591682392681487	0.534851219680717
LRP10	0.918206244838868	0.883025612172261	0.742583095060559	1	0.760801350487543	0.829354345594193	0.903933814210757	0.773158150731642	0.807236835645138	0.189843798165544	0.855983705406036	0.604686641374545	0.722897194282992	0.617479441276675	0.492769587412802	0.164763095223381	0.645912250608568	0.489157116326407	0.886385746703662	0.37103232908781	0.680157279267592	0.248978179104409	0.624139026990999	0.623267958552579	0.270249337119712	0.879445050682503	0.702342136839111	0.788914807751636	0.607220289562101	0.365838594154492	0.419263038161296	0.43829395686081
CLEC2D	0.676719940510992	0.747877514309687	0.850215912358146	0.760801350487543	1	0.559902210564658	0.660599210543108	0.69444148815975	0.580947837106489	0.409235329899489	0.815148739035015	0.767434298476996	0.60008009043507	0.758500508147385	0.867810230200983	0.379066789331222	0.380352424218401	0.661511217322489	0.67821108278344	0.132053325713618	0.335143736193038	0.522809305062385	0.895229395140043	0.23502995536982	0.0861529569176515	0.88885802103192	0.873307012866061	0.514752012373152	0.406051777192919	0.137302123101923	0.396862282731985	0.268114931033205
RPSA	0.814110310199301	0.675336894565641	0.588152114619304	0.829354345594193	0.559902210564658	1	0.704351555478604	0.52043091276424	0.825152075904456	0.314542911030797	0.760262718333545	0.292899559154002	0.515985416110638	0.457052503405257	0.431950419527436	0.288320672363397	0.519035890553807	0.427808909355912	0.686464814942852	0.135084645922718	0.482978899635814	0.345770704802972	0.539264685791591	0.546685237172159	0.0105863347380239	0.803716066555781	0.408272825711128	0.849998556925671	0.346935974841566	0.182034144906806	0.64683858830857	0.541974472004031
PTGER2	0.869145368957654	0.74286525034691	0.557243770767147	0.903933814210757	0.660599210543108	0.704351555478604	1	0.782028157048203	0.669900080753405	-0.0452560572565696	0.789457213492965	0.529281625468708	0.711935718673752	0.452494456594779	0.318591387777401	-0.0158201804933028	0.687944375891954	0.365113445144327	0.972015855459232	0.23473290601367	0.611664644849277	0.0114423474165706	0.520280114741942	0.493308816392371	0.146027758729375	0.770174311886861	0.598896469246945	0.691850761465488	0.548925965150905	0.236880758124927	0.191531948359627	0.182941754428006
CD69	0.804093793868171	0.816812109045823	0.578266700352088	0.773158150731642	0.69444148815975	0.52043091276424	0.782028157048203	1	0.697400750602075	0.145784541020794	0.821970397104181	0.787193541306143	0.781455639845716	0.698655770562091	0.366032613909515	0.162606026222264	0.759774584095682	0.694354481025151	0.889900322587607	0.408242005364368	0.701298476453097	0.164611114450343	0.602877731510672	0.566025603766801	0.428999654879942	0.681979380196976	0.858327424890682	0.582119969689478	0.755061714326828	0.335311438552025	0.277113141292068	0.186446216734465
ITGB1	0.908979277706476	0.875681676486385	0.672430221083658	0.807236835645138	0.580947837106489	0.825152075904456	0.669900080753405	0.697400750602075	1	0.495215764982468	0.863856291227065	0.516383180882614	0.720223726072602	0.727792748796721	0.418097582951028	0.508417118803923	0.592874595691969	0.725141745756817	0.714775399661673	0.392388142762468	0.70002632749245	0.485545544527106	0.627655858240087	0.707117047552563	0.342063687390762	0.804004744502077	0.580086639923915	0.749764952730659	0.619157860978002	0.460977474628073	0.783054161543919	0.700533148224097
ITGA4	0.171815101311265	0.344346535063101	0.650491664648792	0.189843798165544	0.409235329899489	0.314542911030797	-0.0452560572565696	0.145784541020794	0.495215764982468	1	0.547324474035533	0.12874939319601	0.0250600171481574	0.539030569049421	0.675208965434471	0.940652617498379	-0.277730226689114	0.755438081816683	0.0189219971760664	-0.156812076810119	-0.0967392107775237	0.981738646313387	0.702569969769048	-0.0739917365479506	-0.155770566497599	0.515473050454351	0.317504624194383	-0.0329218945281702	-0.105184128360369	-0.0454869729631647	0.82759197105779	0.510234062394042
CD2	0.839914518675323	0.847045725189753	0.835950125606204	0.855983705406036	0.815148739035015	0.760262718333545	0.789457213492965	0.821970397104181	0.863856291227065	0.547324474035533	1	0.603891638597238	0.645340493590353	0.760291093040941	0.66973993459996	0.541891225551054	0.489712941059576	0.813568716413263	0.839908288540964	0.157287565853207	0.500233486449824	0.583264768335411	0.860762130886423	0.412122760261292	0.107062317970469	0.934328832060938	0.770391748012175	0.58474096869231	0.473881670440063	0.194773607690158	0.649000268988883	0.440151678544721
PTPRA	0.668360260324509	0.796574523098327	0.638575646900755	0.604686641374545	0.767434298476996	0.292899559154002	0.529281625468708	0.787193541306143	0.516383180882614	0.12874939319601	0.603891638597238	1	0.807425266123167	0.818170444194412	0.518316404752658	0.178745992452546	0.578136486709852	0.55914744979924	0.59064108384916	0.541902149225801	0.645457601430887	0.196332049520499	0.548433873498066	0.535389838918296	0.582816577567559	0.616841403020349	0.925352482412634	0.513935967895564	0.758303643159356	0.526386921813594	0.161684311178799	0.237931196374786
APLP2	0.851955619749025	0.840668952021742	0.495750948393108	0.722897194282992	0.60008009043507	0.515985416110638	0.711935718673752	0.781455639845716	0.720223726072602	0.0250600171481574	0.645340493590353	0.807425266123167	1	0.657421026281769	0.251803935789438	0.0683985454957684	0.739320590609926	0.473143374783521	0.732032524616182	0.554882219089684	0.800304324314799	0.041601878393737	0.398516137732807	0.746916500400967	0.56782780502267	0.624825417269783	0.706089325821863	0.736784642514489	0.822261472945333	0.627449398170157	0.228069806210284	0.277231682969923
PTPRC	0.702951486486798	0.864269406684481	0.812522039011192	0.617479441276675	0.758500508147385	0.457052503405257	0.452494456594779	0.698655770562091	0.727792748796721	0.539030569049421	0.760291093040941	0.818170444194412	0.657421026281769	1	0.640357806634683	0.634981009176163	0.452511978333451	0.755813425405992	0.526571334655747	0.485237678309509	0.629697840050464	0.575481191025273	0.71968364718604	0.54814474731723	0.455584692080758	0.754093134954168	0.831947956517867	0.450004800690228	0.686535393843168	0.419461255363127	0.590725487135345	0.638318427286062
GPR171	0.371684990694684	0.504178519214454	0.847865315932133	0.492769587412802	0.867810230200983	0.431950419527436	0.318591387777401	0.366032613909515	0.418097582951028	0.675208965434471	0.66973993459996	0.518316404752658	0.251803935789438	0.640357806634683	1	0.613230076003648	-0.034083105236821	0.646402625199254	0.323292028007566	-0.13896727118464	-0.0363430110175881	0.791567037653244	0.898236272484283	-0.09475365029029	-0.177992472477613	0.789411069686977	0.687358504637971	0.235187953854993	0.0134493736659822	-0.0309509239801179	0.521816832718788	0.30183774196981
ITGA6	0.223729985564664	0.39315823644681	0.646003827071877	0.164763095223381	0.379066789331222	0.288320672363397	-0.0158201804933028	0.162606026222264	0.508417118803923	0.940652617498379	0.541891225551054	0.178745992452546	0.0683985454957684	0.634981009176163	0.613230076003648	1	-0.202446975125324	0.721957687424627	0.0434083629275196	-0.0760849555934483	0.0136801765766321	0.921931803083203	0.661092035754528	-0.000499187825325258	-0.0951576297859086	0.517154507233144	0.314396151337136	-0.0378815874138414	-0.00419452214892666	-0.0108848614181706	0.820832174210804	0.604427095406421
LAMP1	0.777905098836427	0.64530706370032	0.16566017576479	0.645912250608568	0.380352424218401	0.519035890553807	0.687944375891954	0.759774584095682	0.592874595691969	-0.277730226689114	0.489712941059576	0.578136486709852	0.739320590609926	0.452511978333451	-0.034083105236821	-0.202446975125324	1	0.301001958598648	0.757220550413083	0.565149334894576	0.830258184760221	-0.259395928643344	0.187607705389309	0.770383741954658	0.536377054929663	0.403064316791146	0.519848443796037	0.762535382123035	0.845329140152652	0.427967133608	0.116678058399211	0.267463188586472
CD47	0.554700465728119	0.658743051625485	0.679349478214456	0.489157116326407	0.661511217322489	0.427808909355912	0.365113445144327	0.694354481025151	0.725141745756817	0.755438081816683	0.813568716413263	0.55914744979924	0.473143374783521	0.755813425405992	0.646402625199254	0.721957687424627	0.301001958598648	1	0.507635526656129	0.116579801986478	0.316052370999055	0.752384050081403	0.847113444203587	0.238223218698101	0.171619499149528	0.674323595932281	0.713840031803398	0.280581297680305	0.380492847009977	0.164214927673163	0.725203627735967	0.413354769151698
CD3G	0.88048382459199	0.770565666396981	0.548726584596825	0.886385746703662	0.67821108278344	0.686464814942852	0.972015855459232	0.889900322587607	0.714775399661673	0.0189219971760664	0.839908288540964	0.59064108384916	0.732032524616182	0.526571334655747	0.323292028007566	0.0434083629275196	0.757220550413083	0.507635526656129	1	0.271599560932841	0.649587152930641	0.060362983152875	0.576508600968731	0.522022086530944	0.214543971153998	0.758286781781889	0.679694532094369	0.682856791592721	0.622482404362747	0.233915218900622	0.25115240896458	0.18510447389808
ACTR2	0.491485489167127	0.595962005309741	0.169453130464704	0.37103232908781	0.132053325713618	0.135084645922718	0.23473290601367	0.408242005364368	0.392388142762468	-0.156812076810119	0.157287565853207	0.541902149225801	0.554882219089684	0.485237678309509	-0.13896727118464	-0.0760849555934483	0.565149334894576	0.116579801986478	0.271599560932841	1	0.832145450538257	-0.18062598427977	-0.0629274731330758	0.832833903542113	0.953201386281217	0.144803688757243	0.416735075360254	0.449891558228656	0.82577003888285	0.871661729036669	0.0306893374832375	0.480516987257306
SORL1	0.816617047905457	0.819302609416077	0.359347070814596	0.680157279267592	0.335143736193038	0.482978899635814	0.611664644849277	0.701298476453097	0.70002632749245	-0.0967392107775237	0.500233486449824	0.645457601430887	0.800304324314799	0.629697840050464	-0.0363430110175881	0.0136801765766321	0.830258184760221	0.316052370999055	0.649587152930641	0.832145450538257	1	-0.114727220209334	0.148941226636658	0.954719449948083	0.786000139639766	0.446201283594232	0.540179468811506	0.697629815512877	0.957722842492678	0.718635520828226	0.230077015746922	0.54178366333748
CD3D	0.203588419254737	0.374302620868388	0.718074948954915	0.248978179104409	0.522809305062385	0.345770704802972	0.0114423474165706	0.164611114450343	0.485545544527106	0.981738646313387	0.583264768335411	0.196332049520499	0.041601878393737	0.575481191025273	0.791567037653244	0.921931803083203	-0.259395928643344	0.752384050081403	0.060362983152875	-0.18062598427977	-0.114727220209334	1	0.777961871777153	-0.108405141291469	-0.192067535807585	0.592701791100745	0.391953202611136	0.00916445371442821	-0.113504119761978	-0.0609932005504057	0.805656350835598	0.500056502638596
KLRD1	0.567711915604289	0.642554295019538	0.84053521139533	0.624139026990999	0.895229395140043	0.539264685791591	0.520280114741942	0.602877731510672	0.627655858240087	0.702569969769048	0.860762130886423	0.548433873498066	0.398516137732807	0.71968364718604	0.898236272484283	0.661092035754528	0.187607705389309	0.847113444203587	0.576508600968731	-0.0629274731330758	0.148941226636658	0.777961871777153	1	0.054587860209656	-0.0974096161809612	0.863221173256092	0.742685236128346	0.328045513972603	0.197636514006727	-0.0183353607745033	0.638072817228413	0.34620826422878
CD74	0.771225027357909	0.7494938063698	0.275703497090797	0.623267958552579	0.23502995536982	0.546685237172159	0.493308816392371	0.566025603766801	0.707117047552563	-0.0739917365479506	0.412122760261292	0.535389838918296	0.746916500400967	0.54814474731723	-0.09475365029029	-0.000499187825325258	0.770383741954658	0.238223218698101	0.522022086530944	0.832833903542113	0.954719449948083	-0.108405141291469	0.054587860209656	1	0.783595918650084	0.379089290702284	0.415269964691174	0.772401207144172	0.890210037393457	0.741727657246826	0.301253477856869	0.594426929283674
HAVCR2	0.417368903882732	0.538143132403077	0.0915777145488937	0.270249337119712	0.0861529569176515	0.0105863347380239	0.146027758729375	0.428999654879942	0.342063687390762	-0.155770566497599	0.107062317970469	0.582816577567559	0.56782780502267	0.455584692080758	-0.177992472477613	-0.0951576297859086	0.536377054929663	0.171619499149528	0.214543971153998	0.953201386281217	0.786000139639766	-0.192067535807585	-0.0974096161809612	0.783595918650084	1	0.0428730333856399	0.433202044100646	0.374332134363025	0.819748252638752	0.861168968168947	-0.0149511250597869	0.352849651276552
IFITM1	0.827423257761247	0.844173462439359	0.916026816742843	0.879445050682503	0.88885802103192	0.803716066555781	0.770174311886861	0.681979380196976	0.804004744502077	0.515473050454351	0.934328832060938	0.616841403020349	0.624825417269783	0.754093134954168	0.789411069686977	0.517154507233144	0.403064316791146	0.674323595932281	0.758286781781889	0.144803688757243	0.446201283594232	0.592701791100745	0.863221173256092	0.379089290702284	0.0428730333856399	1	0.751063919738216	0.637816924746244	0.397993428526092	0.220010728665827	0.617547415401317	0.505331598567405
PTGER4	0.679089047666521	0.818918835800824	0.768976007177822	0.702342136839111	0.873307012866061	0.408272825711128	0.598896469246945	0.858327424890682	0.580086639923915	0.317504624194383	0.770391748012175	0.925352482412634	0.706089325821863	0.831947956517867	0.687358504637971	0.314396151337136	0.519848443796037	0.713840031803398	0.679694532094369	0.416735075360254	0.540179468811506	0.391953202611136	0.742685236128346	0.415269964691174	0.433202044100646	0.751063919738216	1	0.480674293672015	0.637552231104673	0.399189719297345	0.288083274476874	0.24654449051568
CD63	0.862323933937699	0.709258550911037	0.384082801100753	0.788914807751636	0.514752012373152	0.849998556925671	0.691850761465488	0.582119969689478	0.749764952730659	-0.0329218945281702	0.58474096869231	0.513935967895564	0.736784642514489	0.450004800690228	0.235187953854993	-0.0378815874138414	0.762535382123035	0.280581297680305	0.682856791592721	0.449891558228656	0.697629815512877	0.00916445371442821	0.328045513972603	0.772401207144172	0.374332134363025	0.637816924746244	0.480674293672015	1	0.622043423188548	0.475974617726433	0.384773862006083	0.434170515114532
RHBDF2	0.751789191974874	0.790840392979916	0.336563250386599	0.607220289562101	0.406051777192919	0.346935974841566	0.548925965150905	0.755061714326828	0.619157860978002	-0.105184128360369	0.473881670440063	0.758303643159356	0.822261472945333	0.686535393843168	0.0134493736659822	-0.00419452214892666	0.845329140152652	0.380492847009977	0.622482404362747	0.82577003888285	0.957722842492678	-0.113504119761978	0.197636514006727	0.890210037393457	0.819748252638752	0.397993428526092	0.637552231104673	0.622043423188548	1	0.669838124080825	0.159099431033214	0.429558499055851
CD46	0.511007601656408	0.592449222597576	0.229273532485198	0.365838594154492	0.137302123101923	0.182034144906806	0.236880758124927	0.335311438552025	0.460977474628073	-0.0454869729631647	0.194773607690158	0.526386921813594	0.627449398170157	0.419461255363127	-0.0309509239801179	-0.0108848614181706	0.427967133608	0.164214927673163	0.233915218900622	0.871661729036669	0.718635520828226	-0.0609932005504057	-0.0183353607745033	0.741727657246826	0.861168968168947	0.220010728665827	0.399189719297345	0.475974617726433	0.669838124080825	1	0.102914932875625	0.456938918559516
C1QBP	0.500943761751113	0.528720885319856	0.591682392681487	0.419263038161296	0.396862282731985	0.64683858830857	0.191531948359627	0.277113141292068	0.783054161543919	0.82759197105779	0.649000268988883	0.161684311178799	0.228069806210284	0.590725487135345	0.521816832718788	0.820832174210804	0.116678058399211	0.725203627735967	0.25115240896458	0.0306893374832375	0.230077015746922	0.805656350835598	0.638072817228413	0.301253477856869	-0.0149511250597869	0.617547415401317	0.288083274476874	0.384773862006083	0.159099431033214	0.102914932875625	1	0.765986474155142
CANX	0.546737838481194	0.615046190772574	0.534851219680717	0.43829395686081	0.268114931033205	0.541974472004031	0.182941754428006	0.186446216734465	0.700533148224097	0.510234062394042	0.440151678544721	0.237931196374786	0.277231682969923	0.638318427286062	0.30183774196981	0.604427095406421	0.267463188586472	0.413354769151698	0.18510447389808	0.480516987257306	0.54178366333748	0.500056502638596	0.34620826422878	0.594426929283674	0.352849651276552	0.505331598567405	0.24654449051568	0.434170515114532	0.429558499055851	0.456938918559516	0.765986474155142	1
