""	EGFR	GRM7	ERBB3	ITGB8	ADCYAP1R1	APLP2	ADCY1	PTPRA	PLXNB1	CANX	TFRC	NOTCH1	PLXNB2	CD81	MTTP	NOTCH2	RXRA	THY1	TNFRSF1A	SMAP1	GPR37L1	GPR37	PILRB	TNFRSF19	C1QBP	S1PR2	LRP1	SDC3	LPP	ITGAV	ITGB1	SCARB1	CD46	PTPRC	ABCA1	TREM2	SORL1
EGFR	1	0.73934047969883	0.0861785945440373	0.982209896686588	0.976127186901954	0.978421317099092	0.90923317047251	0.990919865468119	0.989763672760503	0.996570759916768	0.919639560081814	0.990763171322541	0.270280409329316	0.891708462605175	0.981124130621102	0.9941417503847	0.875746034057932	0.0162379157540421	0.912230286943309	0.992328254400191	0.995370279754658	0.983365324502529	0.983140479940831	0.994164361712867	0.995826557410682	0.961391249229567	0.952001668866537	0.983609724981562	0.874434406776697	0.969039108573691	0.95365298279352	0.20041129170903	0.966266828892336	0.258951588061696	0.57260480737228	0.267141346733418	0.503749120199454
GRM7	0.73934047969883	1	0.627275016781183	0.820276572843507	0.715527890959674	0.84395035495427	0.875724631590433	0.812530838835062	0.787098305926984	0.76815037791705	0.871338154251637	0.783168754066749	0.676561504140453	0.87370638018685	0.826706652251676	0.788987558285655	0.908676849349318	0.392092630117097	0.887695158713002	0.790931263195578	0.797983358739857	0.81259760788773	0.830341789422072	0.75721026276253	0.688807942695345	0.57870216138577	0.883710478393551	0.834337936288558	0.887331470948906	0.854650617639388	0.862501169948477	0.679828689298894	0.757507905693667	0.616945994125316	0.835954715780303	0.598245659777462	0.800081019816764
ERBB3	0.0861785945440373	0.627275016781183	1	0.138450844637841	0.0140750933219172	0.225837082260681	0.195292154423599	0.162513627340857	0.117002228800831	0.110469922094052	0.226774866789174	0.116829444584468	0.526732327000729	0.229656047059587	0.159907214488506	0.141447906051367	0.287580576172261	0.833477609176223	0.293118695211516	0.154567716727761	0.168728207247081	0.150699193127058	0.203949114391681	0.0998299804673038	0.0424071870621463	0.00160762546072314	0.307971148465609	0.179658074621524	0.357812175979208	0.273340107076136	0.24862097279164	0.656003491484719	0.245846967730067	0.411389845882082	0.394955914599963	0.330930773494527	0.464718675566024
ITGB8	0.982209896686588	0.820276572843507	0.138450844637841	1	0.970015808812323	0.99135706172176	0.970173060208814	0.995488590541414	0.991516362134463	0.990356810640446	0.969663323144917	0.992296070702634	0.397244117933229	0.954094688367186	0.996263683881627	0.992301923120573	0.94477467596502	0.00411563015820735	0.959915906840006	0.988543824673178	0.98910641900921	0.995920908084842	0.991344808835169	0.985304165109864	0.964806340925873	0.89508572942409	0.97540798534825	0.997471985929878	0.921173532762688	0.979465890722754	0.982351257093438	0.327678209335249	0.934432141861022	0.392093754113554	0.699336977392631	0.411320837173958	0.623864735769094
ADCYAP1R1	0.976127186901954	0.715527890959674	0.0140750933219172	0.970015808812323	1	0.949771327181123	0.915141963173891	0.963941513345926	0.989519031928077	0.967622366280205	0.903361329425281	0.982972428328241	0.234663557327959	0.876132901573391	0.955649700018095	0.96343996136063	0.885971664025157	-0.0862599633532	0.877888516452823	0.95644789165022	0.966037390180125	0.97735549569428	0.944306624129082	0.962117144791416	0.977507912366213	0.928560258392287	0.922153119011541	0.959630405260551	0.828143158725149	0.923664032675041	0.914683903303291	0.172509255512582	0.893685612380545	0.247419951298694	0.572381457032118	0.247627095139222	0.47971861195417
APLP2	0.978421317099092	0.84395035495427	0.225837082260681	0.99135706172176	0.949771327181123	1	0.959401752499924	0.992946311657471	0.982661280271337	0.987850847930321	0.974260500552936	0.988880014740857	0.450067681749814	0.956655987752648	0.98832643778592	0.993256074935088	0.945657527278135	0.0977838555628174	0.974601020931143	0.990451446037449	0.989996254605527	0.99101724059071	0.99519850067093	0.981937407596091	0.960396538090737	0.89304817005212	0.993421205339424	0.993676737108646	0.951545426332318	0.99451411584305	0.99163491731271	0.394350436390802	0.957436599877116	0.437365002559896	0.719523879741992	0.430350758851307	0.66354165358493
ADCY1	0.90923317047251	0.875724631590433	0.195292154423599	0.970173060208814	0.915141963173891	0.959401752499924	1	0.947775533076869	0.943581015704577	0.930426267846475	0.988143111033384	0.947141956640059	0.554379653952711	0.989260893594338	0.959047313753537	0.939262263235598	0.9903999287551	-0.0161507861642122	0.97545854241999	0.931502800315841	0.928649456531878	0.962964499265347	0.948422764463494	0.923569019313142	0.878220456337226	0.762615857737747	0.960111424504708	0.960855967496244	0.94126728442666	0.942114593285936	0.969755150426555	0.492583558121548	0.843593236055883	0.560742893586364	0.836994832337478	0.587761041865162	0.757734175645076
PTPRA	0.990919865468119	0.812530838835062	0.162513627340857	0.995488590541414	0.963941513345926	0.992946311657471	0.947775533076869	1	0.989925598882443	0.996121625455966	0.954515149993333	0.991156245834087	0.369665649848602	0.934248267316467	0.997152797723666	0.99741111221435	0.921221735401151	0.0598292366202277	0.950983540181657	0.996351582620109	0.9975840394486	0.991108140301916	0.997387111370679	0.99339621886563	0.975311293009177	0.921592442918392	0.975605418008336	0.99856506497703	0.915635770010607	0.986871943751448	0.980413052603341	0.298447470574997	0.961680525007247	0.348791056500307	0.657724590661809	0.361430503176124	0.590072718442678
PLXNB1	0.989763672760503	0.787098305926984	0.117002228800831	0.991516362134463	0.989519031928077	0.982661280271337	0.943581015704577	0.989925598882443	1	0.988614656070471	0.940999705280574	0.997155325863692	0.325292688922561	0.917168936288164	0.984058400294479	0.988238561314767	0.919368499782247	0.0110713049646547	0.927959560176703	0.983442200182367	0.990621290992052	0.994779512517574	0.979473748193453	0.982387585418343	0.98208296334926	0.928192209146639	0.963714798919222	0.98798218936453	0.886772630582586	0.965673939502734	0.958092546499877	0.260422192599122	0.935300808313827	0.318820739217741	0.6341147270859	0.318874729298292	0.554417164901595
CANX	0.996570759916768	0.76815037791705	0.110469922094052	0.990356810640446	0.967622366280205	0.987850847930321	0.930426267846475	0.996121625455966	0.988614656070471	1	0.942931742485135	0.991573609136119	0.323667304749116	0.919996325751198	0.990215203194758	0.998755856884275	0.898384535436523	0.0155003331472616	0.93771782285689	0.997030336590606	0.996691671948085	0.988402947239652	0.992415084320205	0.995369790632778	0.986558437172689	0.940904415856451	0.964891154349338	0.99177802002636	0.90222454921776	0.981102772647697	0.972323127320639	0.255454998887513	0.966563520713801	0.318045511094012	0.623506953786553	0.332835952972191	0.558385617118253
TFRC	0.919639560081814	0.871338154251637	0.226774866789174	0.969663323144917	0.903361329425281	0.974260500552936	0.988143111033384	0.954515149993333	0.940999705280574	0.942931742485135	1	0.95150043919966	0.580454175864016	0.995956779841055	0.960433342996067	0.953227123749875	0.983109605770013	0.0315454732474964	0.992644594714571	0.947904640317338	0.938903410094771	0.962718329076847	0.961316874134585	0.933622029476082	0.888822725376583	0.780301849490687	0.979316335370344	0.964968706420538	0.97805794602527	0.967171170622383	0.985101581440835	0.534530869495966	0.881879856657798	0.601043851477303	0.846058421751713	0.588072318036436	0.792561381194529
NOTCH1	0.990763171322541	0.783168754066749	0.116829444584468	0.992296070702634	0.982972428328241	0.988880014740857	0.947141956640059	0.991156245834087	0.997155325863692	0.991573609136119	0.95150043919966	1	0.356667770660921	0.929612230849188	0.983379210927258	0.992453058213218	0.925193397476295	0.010073790165654	0.942163467668035	0.986280857142422	0.99106632305917	0.996246854225816	0.983601093823207	0.987559582255228	0.983048373938304	0.925164082509168	0.971715725735807	0.988367342899405	0.905878577827415	0.972321363097985	0.968484018605297	0.291773632373692	0.941874613182331	0.352532957974011	0.656724535659418	0.348788422210145	0.581307678655623
PLXNB2	0.270280409329316	0.676561504140453	0.526732327000729	0.397244117933229	0.234663557327959	0.450067681749814	0.554379653952711	0.369665649848602	0.325292688922561	0.323667304749116	0.580454175864016	0.356667770660921	1	0.617851468633522	0.389170034968058	0.35852536656224	0.626158430708623	0.384248389802563	0.612531072517	0.34972031775819	0.33392884623362	0.38009906007556	0.412203035469198	0.311073861697065	0.205965019794119	0.0489931455780432	0.531167313216031	0.40161009445834	0.667818298356603	0.454915002223485	0.510379445880344	0.925176741599915	0.301298560274894	0.930007365510557	0.868915449588695	0.841964504194966	0.909056856104495
CD81	0.891708462605175	0.87370638018685	0.229656047059587	0.954094688367186	0.876132901573391	0.956655987752648	0.989260893594338	0.934248267316467	0.917168936288164	0.919996325751198	0.995956779841055	0.929612230849188	0.617851468633522	1	0.944124295298911	0.931338488631587	0.984747244931905	0.0104849419291275	0.991211335694302	0.924412714792892	0.913995631624924	0.945556983541253	0.943487913145725	0.912062024580826	0.857028475812499	0.736270882266336	0.963437323854288	0.947336046283478	0.972520672058089	0.947293329346288	0.977347973911205	0.566087619352161	0.849479107051844	0.634792332113023	0.875633991748577	0.649403240309936	0.817401315513544
MTTP	0.981124130621102	0.826706652251676	0.159907214488506	0.996263683881627	0.955649700018095	0.98832643778592	0.959047313753537	0.997152797723666	0.984058400294479	0.990215203194758	0.960433342996067	0.983379210927258	0.389170034968058	0.944124295298911	1	0.991812758518826	0.929521489819498	0.0435196777156172	0.954904106373165	0.991318850932032	0.990941292210595	0.987277745341404	0.995459532980499	0.986068472170027	0.960363584828612	0.899207641243765	0.971223172143031	0.998946433560782	0.91628485085827	0.982924879485659	0.981581746986925	0.311244529259278	0.947316457935333	0.368717266522325	0.679094513516032	0.395080646230932	0.608774281033247
NOTCH2	0.9941417503847	0.788987558285655	0.141447906051367	0.992301923120573	0.96343996136063	0.993256074935088	0.939262263235598	0.99741111221435	0.988238561314767	0.998755856884275	0.953227123749875	0.992453058213218	0.35852536656224	0.931338488631587	0.991812758518826	1	0.911499023831471	0.039852336719833	0.94937867188976	0.998346142543623	0.997158105962061	0.990607446361103	0.995679793770253	0.994381985427561	0.981728929775442	0.930354048096486	0.974724772761128	0.994344586400325	0.918289556715187	0.987482915614013	0.9797285741157	0.29319195846805	0.968104764725693	0.350908098488841	0.649381012995422	0.35900985495373	0.588020531752535
RXRA	0.875746034057932	0.908676849349318	0.287580576172261	0.94477467596502	0.885971664025157	0.945657527278135	0.9903999287551	0.921221735401151	0.919368499782247	0.898384535436523	0.983109605770013	0.925193397476295	0.626158430708623	0.984747244931905	0.929521489819498	0.911499023831471	1	0.0621906504115122	0.974040971280331	0.902579368582639	0.902145667254416	0.941888537871444	0.924618889457073	0.89070428433144	0.842527581224885	0.716972215636527	0.96023247637786	0.936351571244155	0.953702455316359	0.929262203297018	0.955562969092116	0.585016719635189	0.81879319269998	0.629171822135614	0.87943836790164	0.619134665993742	0.810487663315854
THY1	0.0162379157540421	0.392092630117097	0.833477609176223	0.00411563015820735	-0.0862599633532	0.0977838555628174	-0.0161507861642122	0.0598292366202277	0.0110713049646547	0.0155003331472616	0.0315454732474964	0.010073790165654	0.384248389802563	0.0104849419291275	0.0435196777156172	0.039852336719833	0.0621906504115122	1	0.106398958809013	0.0594763200224586	0.081281954594803	0.00443310544488967	0.095264926225654	0.0130911740578379	-0.0121255217838953	0.0318622546290463	0.171543793384872	0.0617241470827009	0.181046531123234	0.148721102322773	0.0839640718076632	0.380172358301764	0.204543699848128	0.158444469281048	0.0899907502516189	-0.00810672299570117	0.190351221237342
TNFRSF1A	0.912230286943309	0.887695158713002	0.293118695211516	0.959915906840006	0.877888516452823	0.974601020931143	0.97545854241999	0.950983540181657	0.927959560176703	0.93771782285689	0.992644594714571	0.942163467668035	0.612531072517	0.991211335694302	0.954904106373165	0.94937867188976	0.974040971280331	0.106398958809013	1	0.944461900244915	0.936573079494747	0.954354135763745	0.963658503068809	0.930595080386063	0.879812105940006	0.776786163446322	0.982987382384515	0.960046839073545	0.986682294388009	0.971273846892718	0.990783151942155	0.560829058387113	0.896333840708275	0.607966490989719	0.847495748728339	0.605552279936503	0.800651603114134
SMAP1	0.992328254400191	0.790931263195578	0.154567716727761	0.988543824673178	0.95644789165022	0.990451446037449	0.931502800315841	0.996351582620109	0.983442200182367	0.997030336590606	0.947904640317338	0.986280857142422	0.34972031775819	0.924412714792892	0.991318850932032	0.998346142543623	0.902579368582639	0.0594763200224586	0.944461900244915	1	0.996477905639749	0.984754134486089	0.995346568389074	0.992271958175041	0.978412092949026	0.931019028106	0.9720856478058	0.993218865510534	0.91553572770215	0.988834309060814	0.976957213627825	0.287086283840884	0.973409863017602	0.341626966868457	0.63808172644707	0.346935603864764	0.582098933758563
GPR37L1	0.995370279754658	0.797983358739857	0.168728207247081	0.98910641900921	0.966037390180125	0.989996254605527	0.928649456531878	0.9975840394486	0.990621290992052	0.996691671948085	0.938903410094771	0.99106632305917	0.33392884623362	0.913995631624924	0.990941292210595	0.997158105962061	0.902145667254416	0.081281954594803	0.936573079494747	0.996477905639749	1	0.988094111466576	0.99406273319219	0.992808335304547	0.984143748622528	0.941403172116356	0.971644199431432	0.993756872346914	0.903023525093923	0.984733337158824	0.971000858454078	0.268545891505627	0.97261327438995	0.311229610717797	0.620649001191678	0.316841290133913	0.556326990962599
GPR37	0.983365324502529	0.81259760788773	0.150699193127058	0.995920908084842	0.97735549569428	0.99101724059071	0.962964499265347	0.991108140301916	0.994779512517574	0.988402947239652	0.962718329076847	0.996246854225816	0.38009906007556	0.945556983541253	0.987277745341404	0.990607446361103	0.941888537871444	0.00443310544488967	0.954354135763745	0.984754134486089	0.988094111466576	1	0.985707678310999	0.982424021745682	0.971414985799116	0.903617254838094	0.97540379411656	0.991289671671074	0.915132612102748	0.975234307771022	0.977481972183291	0.324202714928836	0.933774665243664	0.380714955762024	0.688197370602012	0.397863325870026	0.611483983776448
PILRB	0.983140479940831	0.830341789422072	0.203949114391681	0.991344808835169	0.944306624129082	0.99519850067093	0.948422764463494	0.997387111370679	0.979473748193453	0.992415084320205	0.961316874134585	0.983601093823207	0.412203035469198	0.943487913145725	0.995459532980499	0.995679793770253	0.924618889457073	0.095264926225654	0.963658503068809	0.995346568389074	0.99406273319219	0.985707678310999	1	0.988669484624655	0.963654346023322	0.906908082364335	0.982005711160079	0.997027811263371	0.934184299195065	0.993703051415308	0.988853718624833	0.341503487712698	0.967867479335577	0.386653064963825	0.682318179402347	0.400781184610926	0.624547726135749
TNFRSF19	0.994164361712867	0.75721026276253	0.0998299804673038	0.985304165109864	0.962117144791416	0.981937407596091	0.923569019313142	0.99339621886563	0.982387585418343	0.995369790632778	0.933622029476082	0.987559582255228	0.311073861697065	0.912062024580826	0.986068472170027	0.994381985427561	0.89070428433144	0.0130911740578379	0.930595080386063	0.992271958175041	0.992808335304547	0.982424021745682	0.988669484624655	1	0.98505329259419	0.940413763745022	0.95666956870768	0.987138202939286	0.891981296948368	0.974143132953398	0.968000148319361	0.240279054273273	0.963900231017306	0.293336043633884	0.610889870910616	0.318029955902343	0.537055080232808
C1QBP	0.995826557410682	0.688807942695345	0.0424071870621463	0.964806340925873	0.977507912366213	0.960396538090737	0.878220456337226	0.975311293009177	0.98208296334926	0.986558437172689	0.888822725376583	0.983048373938304	0.205965019794119	0.857028475812499	0.960363584828612	0.981728929775442	0.842527581224885	-0.0121255217838953	0.879812105940006	0.978412092949026	0.984143748622528	0.971414985799116	0.963654346023322	0.98505329259419	1	0.976628858482458	0.928868101166065	0.964147429707847	0.838911887067449	0.9468711463797	0.927763042331206	0.139828143239526	0.956757347938691	0.199346611631173	0.516374375044945	0.207581894513757	0.443816195284383
S1PR2	0.961391249229567	0.57870216138577	0.00160762546072314	0.89508572942409	0.928560258392287	0.89304817005212	0.762615857737747	0.921592442918392	0.928192209146639	0.940904415856451	0.780301849490687	0.925164082509168	0.0489931455780432	0.736270882266336	0.899207641243765	0.930354048096486	0.716972215636527	0.0318622546290463	0.776786163446322	0.931019028106	0.941403172116356	0.903617254838094	0.906908082364335	0.940413763745022	0.976628858482458	1	0.850522221735269	0.90189440349592	0.734435876358869	0.885682930344138	0.845005706664894	-0.0248398307113999	0.943786152441296	0.022578087707337	0.337013725965401	0.0193345532183828	0.274821481393539
LRP1	0.952001668866537	0.883710478393551	0.307971148465609	0.97540798534825	0.922153119011541	0.993421205339424	0.960111424504708	0.975605418008336	0.963714798919222	0.964891154349338	0.979316335370344	0.971715725735807	0.531167313216031	0.963437323854288	0.971223172143031	0.974724772761128	0.96023247637786	0.171543793384872	0.982987382384515	0.9720856478058	0.971644199431432	0.97540379411656	0.982005711160079	0.95666956870768	0.928868101166065	0.850522221735269	1	0.979669130541582	0.972506341269511	0.990555962348399	0.987768606746249	0.484738008535681	0.941288876073139	0.512770537824824	0.769550122357666	0.479976813565906	0.725018271828878
SDC3	0.983609724981562	0.834337936288558	0.179658074621524	0.997471985929878	0.959630405260551	0.993676737108646	0.960855967496244	0.99856506497703	0.98798218936453	0.99177802002636	0.964968706420538	0.988367342899405	0.40161009445834	0.947336046283478	0.998946433560782	0.994344586400325	0.936351571244155	0.0617241470827009	0.960046839073545	0.993218865510534	0.993756872346914	0.991289671671074	0.997027811263371	0.987138202939286	0.964147429707847	0.90189440349592	0.979669130541582	1	0.925563386467338	0.987739630195637	0.984600048211461	0.330916397485469	0.951726008696786	0.382725650991019	0.687880867025321	0.396545114978224	0.620319712474675
LPP	0.874434406776697	0.887331470948906	0.357812175979208	0.921173532762688	0.828143158725149	0.951545426332318	0.94126728442666	0.915635770010607	0.886772630582586	0.90222454921776	0.97805794602527	0.905878577827415	0.667818298356603	0.972520672058089	0.91628485085827	0.918289556715187	0.953702455316359	0.181046531123234	0.986682294388009	0.91553572770215	0.903023525093923	0.915132612102748	0.934184299195065	0.891981296948368	0.838911887067449	0.734435876358869	0.972506341269511	0.925563386467338	1	0.958264578025038	0.967532218189148	0.640465576146671	0.883194083357833	0.676515617071751	0.86713408096868	0.614325183862989	0.849436908376086
ITGAV	0.969039108573691	0.854650617639388	0.273340107076136	0.979465890722754	0.923664032675041	0.99451411584305	0.942114593285936	0.986871943751448	0.965673939502734	0.981102772647697	0.967171170622383	0.972321363097985	0.454915002223485	0.947293329346288	0.982924879485659	0.987482915614013	0.929262203297018	0.148721102322773	0.971273846892718	0.988834309060814	0.984733337158824	0.975234307771022	0.993703051415308	0.974143132953398	0.9468711463797	0.885682930344138	0.990555962348399	0.987739630195637	0.958264578025038	1	0.989334367622026	0.412232782665857	0.970688257290216	0.443561628143352	0.713464492314649	0.422816519283712	0.67315314276186
ITGB1	0.95365298279352	0.862501169948477	0.24862097279164	0.982351257093438	0.914683903303291	0.99163491731271	0.969755150426555	0.980413052603341	0.958092546499877	0.972323127320639	0.985101581440835	0.968484018605297	0.510379445880344	0.977347973911205	0.981581746986925	0.9797285741157	0.955562969092116	0.0839640718076632	0.990783151942155	0.976957213627825	0.971000858454078	0.977481972183291	0.988853718624833	0.968000148319361	0.927763042331206	0.845005706664894	0.987768606746249	0.984600048211461	0.967532218189148	0.989334367622026	1	0.455208251215148	0.938624189723162	0.499797124363464	0.773016124323279	0.522313786762199	0.718373635318219
SCARB1	0.20041129170903	0.679828689298894	0.656003491484719	0.327678209335249	0.172509255512582	0.394350436390802	0.492583558121548	0.298447470574997	0.260422192599122	0.255454998887513	0.534530869495966	0.291773632373692	0.925176741599915	0.566087619352161	0.311244529259278	0.29319195846805	0.585016719635189	0.380172358301764	0.560829058387113	0.287086283840884	0.268545891505627	0.324202714928836	0.341503487712698	0.240279054273273	0.139828143239526	-0.0248398307113999	0.484738008535681	0.330916397485469	0.640465576146671	0.412232782665857	0.455208251215148	1	0.253323736191035	0.947325762081164	0.864826278302419	0.808360856690028	0.918589573967854
CD46	0.966266828892336	0.757507905693667	0.245846967730067	0.934432141861022	0.893685612380545	0.957436599877116	0.843593236055883	0.961680525007247	0.935300808313827	0.966563520713801	0.881879856657798	0.941874613182331	0.301298560274894	0.849479107051844	0.947316457935333	0.968104764725693	0.81879319269998	0.204543699848128	0.896333840708275	0.973409863017602	0.97261327438995	0.933774665243664	0.967867479335577	0.963900231017306	0.956757347938691	0.943786152441296	0.941288876073139	0.951726008696786	0.883194083357833	0.970688257290216	0.938624189723162	0.253323736191035	1	0.26528918417007	0.541233141050244	0.249129846289943	0.51226198790207
PTPRC	0.258951588061696	0.616945994125316	0.411389845882082	0.392093754113554	0.247419951298694	0.437365002559896	0.560742893586364	0.348791056500307	0.318820739217741	0.318045511094012	0.601043851477303	0.352532957974011	0.930007365510557	0.634792332113023	0.368717266522325	0.350908098488841	0.629171822135614	0.158444469281048	0.607966490989719	0.341626966868457	0.311229610717797	0.380714955762024	0.386653064963825	0.293336043633884	0.199346611631173	0.022578087707337	0.512770537824824	0.382725650991019	0.676515617071751	0.443561628143352	0.499797124363464	0.947325762081164	0.26528918417007	1	0.908315330804161	0.856838119856341	0.95582073921646
ABCA1	0.57260480737228	0.835954715780303	0.394955914599963	0.699336977392631	0.572381457032118	0.719523879741992	0.836994832337478	0.657724590661809	0.6341147270859	0.623506953786553	0.846058421751713	0.656724535659418	0.868915449588695	0.875633991748577	0.679094513516032	0.649381012995422	0.87943836790164	0.0899907502516189	0.847495748728339	0.63808172644707	0.620649001191678	0.688197370602012	0.682318179402347	0.610889870910616	0.516374375044945	0.337013725965401	0.769550122357666	0.687880867025321	0.86713408096868	0.713464492314649	0.773016124323279	0.864826278302419	0.541233141050244	0.908315330804161	1	0.863315264750661	0.976570215780959
TREM2	0.267141346733418	0.598245659777462	0.330930773494527	0.411320837173958	0.247627095139222	0.430350758851307	0.587761041865162	0.361430503176124	0.318874729298292	0.332835952972191	0.588072318036436	0.348788422210145	0.841964504194966	0.649403240309936	0.395080646230932	0.35900985495373	0.619134665993742	-0.00810672299570117	0.605552279936503	0.346935603864764	0.316841290133913	0.397863325870026	0.400781184610926	0.318029955902343	0.207581894513757	0.0193345532183828	0.479976813565906	0.396545114978224	0.614325183862989	0.422816519283712	0.522313786762199	0.808360856690028	0.249129846289943	0.856838119856341	0.863315264750661	1	0.857288361093685
SORL1	0.503749120199454	0.800081019816764	0.464718675566024	0.623864735769094	0.47971861195417	0.66354165358493	0.757734175645076	0.590072718442678	0.554417164901595	0.558385617118253	0.792561381194529	0.581307678655623	0.909056856104495	0.817401315513544	0.608774281033247	0.588020531752535	0.810487663315854	0.190351221237342	0.800651603114134	0.582098933758563	0.556326990962599	0.611483983776448	0.624547726135749	0.537055080232808	0.443816195284383	0.274821481393539	0.725018271828878	0.620319712474675	0.849436908376086	0.67315314276186	0.718373635318219	0.918589573967854	0.51226198790207	0.95582073921646	0.976570215780959	0.857288361093685	1
