""	CD3D	KLRD1	CD3G	IFITM1	PTPRC	CD247	SORL1	KLRK1	CD44	MRC2	CD4	LILRB1	ITGB2	TLR1	LAIR1	CXCR4	ADRB2	PTGER4	CD2	TNFRSF1B	CD69	ITGAX	ADCY7	SLC1A5	CD47	ADORA3	LPP	SORT1	TNFRSF1A	CD46	CD81	MERTK	C3AR1	RHBDF2	HAVCR2	STAB1	TNFRSF13C	TLR2	KCNQ3	CD74	VSIR	TNFRSF14	PTGER2	PLXDC2	SIRPA	ALOX5	P2RY12	ITGB1	TSPAN14	HLA.DPB1	TRPM2	TMIGD3	ABCA1	RACK1	CD63	FPR1	TREM2	CANX	APLP2	ATP5F1B	PTPRA	RPSA
CD3D	1	0.961283303542069	0.990327740132883	0.927433575063489	0.495121991173668	0.938141280246254	0.0687891292932191	0.920528610071236	0.960932960959022	-0.263610093171739	0.22331805763856	-0.042423383220852	0.360882397211972	0.102778405856638	0.342600040800421	0.800141829774301	0.296572228581017	0.554516078714743	0.989422796083916	0.238808075238065	0.902747409158797	-0.235914500397772	-0.0967011961318212	0.121897698877535	0.647869185362326	0.0244274439306248	-0.164179672782549	-0.306595878838291	0.387190625587292	-0.215051344117523	0.403972642610844	-0.0872012780853125	0.261690601511827	-0.263254280159527	0.147231347664034	-0.403150738357424	0.157116343344745	-0.0417132259817503	-0.267842307328795	0.259148402927814	0.356153050206925	0.840891012148735	0.955272661967497	-0.00197257251274225	-0.0755065845577672	0.0187868578675409	0.270550450295126	0.267657470694134	0.273858887340731	0.274680698371314	-0.0203635250061992	0.244208522277058	-0.0980898832918067	0.432611703015749	0.389694853327776	0.108979357636017	0.201032649272612	0.182045649174087	0.119161158651407	0.301038000116582	0.109227121412057	0.530575167821904
KLRD1	0.961283303542069	1	0.940840797751324	0.93276750646712	0.499378324900102	0.956536946242333	0.0261233628800592	0.93524955634713	0.941286927100884	-0.205909093395934	0.205379408063738	-0.0870918841457383	0.368556719796196	0.104298605995092	0.314566707647291	0.785266209093527	0.349072875883822	0.529635292038515	0.97363877373417	0.24674356970491	0.848057538634265	-0.163375270992122	-0.09661532215462	0.107451436759583	0.549204155464462	0.00806247859627281	-0.167402930572484	-0.301831697650201	0.373946972841375	-0.209352103073761	0.349992518725871	-0.0407173655218638	0.231367143047103	-0.232807794168987	0.159590487864146	-0.399552382196145	0.146885356577232	0.0194727814274464	-0.205448408884699	0.222264495494285	0.358788208175391	0.803640644761073	0.974738204520424	0.0101033854068815	-0.0926292508127692	-0.0230835518925651	0.229059367376914	0.201583889863244	0.263759479054929	0.213321773433496	-0.016322236046706	0.184584265423543	-0.0980900628483493	0.325409947580238	0.33173961177164	0.0935070613326647	0.177408467685738	0.128010179507227	0.0950111839556608	0.208756854019401	0.0340339722043539	0.419520540039261
CD3G	0.990327740132883	0.940840797751324	1	0.91739807520441	0.453729594678796	0.931250189928023	0.0328422966682988	0.886332446900178	0.949012841668819	-0.309588931303408	0.180517678456296	-0.065709797287418	0.314490505242273	0.0572623803160541	0.327707309080423	0.75206005553177	0.262052391713204	0.511914695973746	0.980008371926078	0.170520560571865	0.879450985391442	-0.280196079143883	-0.0798282719063763	0.0681911667519155	0.61441659453989	-0.0203902527250013	-0.201451312750084	-0.339823010608336	0.358657000006231	-0.253011074236099	0.357663707140632	-0.141025322445253	0.208210113107897	-0.295252328847152	0.0967715233750818	-0.412595967714192	0.117703258713028	-0.107729703374154	-0.327738858681765	0.213618196672958	0.334755139947621	0.807567170889532	0.936948947245056	-0.0570401399009026	-0.112653016196207	-0.0234227849476394	0.237095590233896	0.220494017935999	0.227498962890332	0.232219388621466	-0.050660850585974	0.199147576865236	-0.147489880508912	0.387012138128657	0.339076497629689	0.0523524782892513	0.146598466565456	0.129878564027182	0.0655897042816613	0.248186722833519	0.0681041608985589	0.491757788712526
IFITM1	0.927433575063489	0.93276750646712	0.91739807520441	1	0.346305205485955	0.839190229911194	-0.0638589573445923	0.873359452213734	0.91451030121747	-0.250615853134036	0.102740615438325	-0.112132241046133	0.223068344102148	-0.0284045095039814	0.172414249042712	0.707445309738445	0.194930177051412	0.429494900075522	0.951635398080909	0.146415663885254	0.819574081006916	-0.274579912473629	-0.245326479822918	0.0131651469462058	0.585827850515106	-0.0929436184643759	-0.187381777111073	-0.216423245101583	0.244402492414464	-0.125128782838279	0.25048834232812	-0.167124096757295	0.138663238521463	-0.345462383001051	0.00267483337676381	-0.427528515915646	0.00288223982840195	-0.178746144910321	-0.317069023970848	0.124420966227462	0.247301239779233	0.714361591211523	0.899373309592406	-0.121113614678718	-0.219537887949593	-0.153901505289915	0.112669221482301	0.198247923656192	0.211363931800946	0.123384128246033	-0.0802307005331011	0.0763776387781476	-0.185441437623832	0.268754205893694	0.260206543538525	-0.0167645822510311	0.0682774505345796	0.0447003246832518	-0.00488704300661803	0.166898876053104	-0.0410501915888206	0.378559200129421
PTPRC	0.495121991173668	0.499378324900102	0.453729594678796	0.346305205485955	1	0.531317671432759	0.839101465011104	0.550904816632347	0.450602417551696	0.369486825886789	0.880662782975046	0.540036696591421	0.930258762777307	0.755508720256039	0.855885892190122	0.767434859070716	0.779839671056969	0.690380824727438	0.450010818700118	0.848057712491154	0.613954406644529	0.478288941840176	0.461488474434935	0.731537618818873	0.633715712678978	0.792506426480509	0.554880998073067	0.223097675126157	0.840593238096191	0.261014215810842	0.830916891895121	0.744506377165759	0.776925523253906	0.467356898872002	0.833736062967707	0.139735208220531	0.844221397163681	0.644804366703095	0.443769586165859	0.818263360755594	0.853087420202508	0.775860227105669	0.523020386805595	0.845469264354019	0.736030828209906	0.58512938564453	0.863268043654835	0.747110445837564	0.826418170467708	0.733024255537455	0.548466266531537	0.80570138308662	0.626597491302468	0.664222304050881	0.752769046985346	0.740296600749628	0.790648874081532	0.791376709974545	0.80614422010732	0.614680304138055	0.496595564838338	0.630377352907671
CD247	0.938141280246254	0.956536946242333	0.931250189928023	0.839190229911194	0.531317671432759	1	0.0787387822912614	0.853046287216634	0.887900428553186	-0.173713333128336	0.211880847003442	-0.0685278321472255	0.361013199424878	0.13489746300731	0.348745691858199	0.720321758194756	0.370749042979958	0.528022594865625	0.928031530363674	0.221888113178006	0.796422470635162	-0.155337244739645	-0.0583624470828244	0.0584017637192484	0.488147069261674	0.0367528560789757	-0.139889082050835	-0.303497860441	0.383121308625579	-0.229122239915719	0.312294773850584	0.0167268527356796	0.173131046574753	-0.196195866461125	0.168552848725915	-0.383149923632182	0.156283978847323	0.0418268276553263	-0.207180702501556	0.189182126821209	0.363578268985418	0.789136292449874	0.972499910623079	0.0447356337061143	-0.06563865306267	-0.0128081608207633	0.229918356787296	0.159241925351811	0.228233651417388	0.183641237423598	-0.0242491529827947	0.164367184352338	-0.102348784199202	0.279050738312361	0.276407920704671	0.0573930594930616	0.143767402633583	0.105356556518652	0.0885040347177053	0.149488726042386	0.0354103629946018	0.359673927299845
SORL1	0.0687891292932191	0.0261233628800592	0.0328422966682988	-0.0638589573445923	0.839101465011104	0.0787387822912614	1	0.113433052834163	0.0263995487271361	0.474376362165293	0.88326436609426	0.683303747456525	0.845063762580369	0.75900684499857	0.752279631753456	0.450697788554428	0.656821146021343	0.454347793001981	0.0138457533616112	0.856269111691218	0.257950862568458	0.644867604315305	0.550335759729892	0.803070303905472	0.458732831058943	0.907245526490926	0.760358420348869	0.469525878876507	0.731579220324373	0.42640813159362	0.739440833989022	0.845893510927906	0.74734564585533	0.679379679869081	0.8109927040512	0.442594657353616	0.835357590205214	0.642232277122535	0.609816703541986	0.792091261454686	0.739703710077851	0.462714242118622	0.0807022220665855	0.927536025829059	0.847954194884941	0.675569800361964	0.848271333169969	0.768225253667178	0.828671704759952	0.69164497641428	0.663551958291599	0.786149222771802	0.782251364260925	0.575936482948602	0.668319715976613	0.753212676838635	0.785230396518463	0.821443958242144	0.822946295862477	0.570010247888191	0.47109717544569	0.488260218499988
KLRK1	0.920528610071236	0.93524955634713	0.886332446900178	0.873359452213734	0.550904816632347	0.853046287216634	0.113433052834163	1	0.954430156865014	-0.204958243109956	0.361711451538226	0.0770116085064321	0.490246610159877	0.19104572190971	0.397351589311979	0.867213209793992	0.386006460825779	0.610747013077773	0.922489478779138	0.384856807379254	0.911531492110263	-0.127095341004277	-0.00307852686272178	0.32933709934422	0.641654550308074	0.111895361938057	-0.0687572684495814	-0.247319520225322	0.47305696462794	-0.137181049238212	0.535061715143377	0.00422265958956108	0.463586119008133	-0.157664298992955	0.313722779829147	-0.327412668703891	0.294549467006223	0.146046722582895	-0.126355637187075	0.438046097971259	0.425396458063797	0.850289874882141	0.884993225647348	0.105443174770315	0.020959841062545	0.141761391073477	0.361266733183064	0.398431143651655	0.390918270971556	0.457233301686112	0.0937349575187784	0.385342566994993	0.0252388785017859	0.557013187298962	0.545074606791352	0.322395628038167	0.387532519311519	0.34400152501925	0.260471777967231	0.465989539334226	0.230810432310178	0.644954192825244
CD44	0.960932960959022	0.941286927100884	0.949012841668819	0.91451030121747	0.450602417551696	0.887900428553186	0.0263995487271361	0.954430156865014	1	-0.297809389031692	0.249025154525144	-0.013108099767332	0.357006751568156	0.0682353365544011	0.29749669248153	0.794282860076187	0.27779280814199	0.557132647296287	0.960319701070861	0.248158470417001	0.890564983784538	-0.217222964284053	-0.0972796914450189	0.186843024740145	0.590456572353162	-0.0070234344322582	-0.148057653107579	-0.288481844160329	0.34620654660449	-0.167714681742785	0.404408716584427	-0.115275997257554	0.31516876132748	-0.222522313598453	0.166157710897726	-0.375308975610477	0.157481143349525	-0.0244989253397692	-0.219883870573296	0.295237456750716	0.31037050441815	0.817078189820759	0.913316959874464	-0.0350865661192276	-0.124034275747742	0.0518537088405735	0.224058780045964	0.287385961113476	0.297331886613559	0.333798538872718	0.0251538969380792	0.249046878835521	-0.0838604439957777	0.45631155516446	0.419245391069656	0.174983865326014	0.245173023489023	0.215742708912267	0.115488968845401	0.343621514637405	0.139270494739372	0.559550630069349
MRC2	-0.263610093171739	-0.205909093395934	-0.309588931303408	-0.250615853134036	0.369486825886789	-0.173713333128336	0.474376362165293	-0.204958243109956	-0.297809389031692	1	0.445307456425449	0.407107134830162	0.289712637892806	0.507672316990913	0.242104850876704	-0.0478536266039284	0.137758085784702	0.315549610670054	-0.289069175344217	0.473844919350643	-0.195410409571112	0.424794478717173	0.0120057778141718	0.315789706905141	0.0663026564198712	0.595375632069182	0.696593974664444	0.661974493341763	0.161333409874931	0.559565511780428	0.12589306444546	0.651759086363228	0.214868435242407	0.51534869745619	0.423865447014045	0.474566177366988	0.337874415577557	0.438420429727712	0.634497659987234	0.224227125265854	0.15471206064176	-0.0831051932906385	-0.193563503532426	0.614784939674365	0.574817019590727	0.29410209546719	0.247679169156843	0.304702209859587	0.463077913811173	0.155531602288734	0.448883146316886	0.221513698898046	0.56539095181352	0.046006631129164	0.122432900896852	0.319088034836722	0.23305854293358	0.385823075762534	0.431657080964586	0.172930750746842	0.109612119381648	-0.0264214937978554
CD4	0.22331805763856	0.205379408063738	0.180517678456296	0.102740615438325	0.880662782975046	0.211880847003442	0.88326436609426	0.361711451538226	0.249025154525144	0.445307456425449	1	0.702013923886751	0.898941288082049	0.766770417362611	0.770461061952473	0.604094423923211	0.671524573374244	0.603703965601142	0.178254139270419	0.882726122236083	0.428354440366336	0.60059841991956	0.537716553680522	0.837870522124769	0.54763043289856	0.841298094589934	0.679894375663183	0.384771282153827	0.774266667403123	0.379975212520372	0.824069348954762	0.758629608302579	0.859489537974899	0.610200194516378	0.889644461065504	0.330183783628271	0.900010791751683	0.679433347748691	0.580615749042106	0.885209427421028	0.78560684757733	0.588874894740967	0.222566236701992	0.866795596553736	0.789695179428205	0.698462844185952	0.867199767115655	0.814056100591308	0.846659941884013	0.825220699070809	0.681350030130672	0.84703567531248	0.735161741076585	0.710595865990004	0.785807944951622	0.851667770994421	0.860420591005603	0.901643160377695	0.866239759148905	0.710421579436907	0.560113203282858	0.6580507415307
LILRB1	-0.042423383220852	-0.0870918841457383	-0.065709797287418	-0.112132241046133	0.540036696591421	-0.0685278321472255	0.683303747456525	0.0770116085064321	-0.013108099767332	0.407107134830162	0.702013923886751	1	0.49375434564929	0.421509767238219	0.46164441924045	0.217535583020474	0.376343703537462	0.36253466621847	-0.0918655470262826	0.639474758565194	0.130229031237357	0.450630677888256	0.386307858539054	0.677989984411397	0.349940767707871	0.637837993527597	0.632044026089096	0.58351409563437	0.403666421210794	0.601794317670811	0.470536380688607	0.621069026261038	0.601617611639614	0.430579484601643	0.595957888649218	0.293071568328723	0.565367039000501	0.533475566735206	0.488267985177313	0.615019419717042	0.435172991544986	0.211407804035144	-0.0896641695777209	0.671743655556129	0.633985741131936	0.4564063863477	0.518659059132601	0.687258383294417	0.713390524770166	0.568190144345762	0.503553808885565	0.543066596558609	0.68494908248294	0.452113316608505	0.474625439349864	0.653409055365741	0.587357824338122	0.654895123294511	0.692349999235725	0.528481970700716	0.357094563485947	0.413445088767187
ITGB2	0.360882397211972	0.368556719796196	0.314490505242273	0.223068344102148	0.930258762777307	0.361013199424878	0.845063762580369	0.490246610159877	0.357006751568156	0.289712637892806	0.898941288082049	0.49375434564929	1	0.789423557547602	0.870779787031904	0.753347717652967	0.795615856675042	0.611948425534399	0.321007530390781	0.868902160061259	0.559996936818977	0.569275056548327	0.580842232611332	0.839896437910466	0.577923702205714	0.796373300670835	0.545107810916579	0.174095948783846	0.880360540609542	0.190250014637672	0.915988558457853	0.70835653451337	0.885118974513778	0.552122232506524	0.889061804712437	0.202147690206776	0.902299154576375	0.65823981675881	0.491679039088654	0.910519351355727	0.878415412597689	0.740970673756789	0.374977365436666	0.840980522360533	0.756326991061831	0.726882052624619	0.921162004719406	0.781930563554295	0.787536951005604	0.838867890273708	0.586080047967068	0.896716789386016	0.679453362906437	0.742213130382691	0.8433755215005	0.831711067057285	0.898212645797395	0.856550887169133	0.828326353807776	0.689331783881155	0.573905742302286	0.689568207303064
TLR1	0.102778405856638	0.104298605995092	0.0572623803160541	-0.0284045095039814	0.755508720256039	0.13489746300731	0.75900684499857	0.19104572190971	0.0682353365544011	0.507672316990913	0.766770417362611	0.421509767238219	0.789423557547602	1	0.633688713966825	0.506564874589445	0.540451962898946	0.555897722820024	0.0450331756819694	0.745068565364374	0.308882150031275	0.647340645079383	0.461367943115737	0.662615447204188	0.477534727960919	0.822885763434429	0.695789943235001	0.35362741337934	0.721564182076951	0.268790115446455	0.664419135449406	0.788520674668955	0.660028167215701	0.781304502002149	0.817896335606218	0.348660973036249	0.809481209230838	0.698146999458747	0.623461697849843	0.69542590030583	0.678464372092303	0.458216569965844	0.131728563005457	0.792061738717231	0.703685929850738	0.785134208727584	0.710028813968267	0.545716270635607	0.651453983641658	0.62879082123771	0.732732042024557	0.702697152780531	0.646262012797483	0.51840637037561	0.543184563833087	0.650573800484249	0.682163320929576	0.706122813586947	0.676755741406474	0.476417615427944	0.418840334712033	0.441639508149271
LAIR1	0.342600040800421	0.314566707647291	0.327707309080423	0.172414249042712	0.855885892190122	0.348745691858199	0.752279631753456	0.397351589311979	0.29749669248153	0.242104850876704	0.770461061952473	0.46164441924045	0.870779787031904	0.633688713966825	1	0.660236033918953	0.805437572282898	0.567338577550001	0.289369394891019	0.722488815796034	0.525166414665329	0.377069403211683	0.546073110659968	0.711173599648752	0.531109651208671	0.695076900331179	0.375642391514899	0.0386912792490269	0.807535264379276	0.116436729375078	0.864918625527864	0.607259878377284	0.801951370722126	0.349362289690534	0.760382071437396	0.0333505112256202	0.816337294622198	0.541572886932983	0.309343480876263	0.842977554646284	0.874567869258724	0.668285089660766	0.345931452696872	0.765998325396501	0.73996558347955	0.622595169154929	0.897610492528279	0.730150409296197	0.689079322818094	0.776070977791111	0.321466931607319	0.865382886246287	0.615179728381084	0.697381865670566	0.782700191250423	0.756232113150418	0.806687906361044	0.750245593123373	0.761846428754495	0.649834185669397	0.612344839414417	0.655558463771918
CXCR4	0.800141829774301	0.785266209093527	0.75206005553177	0.707445309738445	0.767434859070716	0.720321758194756	0.450697788554428	0.867213209793992	0.794282860076187	-0.0478536266039284	0.604094423923211	0.217535583020474	0.753347717652967	0.506564874589445	0.660236033918953	1	0.547805445581245	0.765633188761383	0.772981583545676	0.660818105592406	0.936753171484799	0.164519760110313	0.203892143716164	0.580255651607506	0.801110432821182	0.464743489432625	0.192417979195888	-0.0640214767616465	0.707373652277981	-0.00728540393227149	0.807003853411838	0.275673706487512	0.728284730167014	0.135298621929882	0.637498157195165	-0.147718703876435	0.595217444860454	0.366668560784306	0.149641207357939	0.718529764329798	0.684794398655997	0.950978691779926	0.782580499168381	0.432867174294954	0.343477034375131	0.427746328409409	0.668730859388169	0.644197276411288	0.616299705607445	0.708738843771514	0.299377115365049	0.704962004117205	0.309393435568868	0.777508273418282	0.781236996725739	0.615797511505241	0.697276126492992	0.612161212698236	0.527913300432761	0.661362202466852	0.43756880178895	0.803135074810163
ADRB2	0.296572228581017	0.349072875883822	0.262052391713204	0.194930177051412	0.779839671056969	0.370749042979958	0.656821146021343	0.386006460825779	0.27779280814199	0.137758085784702	0.671524573374244	0.376343703537462	0.795615856675042	0.540451962898946	0.805437572282898	0.547805445581245	1	0.334155955369898	0.279931239525149	0.582927378903275	0.370561568617389	0.39443846513535	0.569299262953393	0.558645126239454	0.256541980153599	0.547906466623587	0.254126731501774	-0.0214086620624351	0.729870472047265	0.0360561914503999	0.683075268169402	0.636288502182292	0.63126086298692	0.320925072521725	0.638109298552059	-0.105872909956738	0.713626006633994	0.510932095700417	0.247756153675461	0.68980303920603	0.797555976584521	0.533514503829441	0.356785817225091	0.694613889735669	0.574147371154579	0.481304255753916	0.751002517867538	0.541493408472011	0.593353676014052	0.559060178382776	0.290603614479065	0.665250898254561	0.456961221093877	0.42238035022066	0.586825672620743	0.592183155902073	0.641256965942319	0.56536987991805	0.666977601718318	0.383429822154845	0.508295803518695	0.383552457272747
PTGER4	0.554516078714743	0.529635292038515	0.511914695973746	0.429494900075522	0.690380824727438	0.528022594865625	0.454347793001981	0.610747013077773	0.557132647296287	0.315549610670054	0.603703965601142	0.36253466621847	0.611948425534399	0.555897722820024	0.567338577550001	0.765633188761383	0.334155955369898	1	0.486622880121813	0.680852745760961	0.744409969697231	0.238755743171833	0.0914629091017696	0.542087543132868	0.707966816789765	0.586814699257873	0.413444334400331	0.290464833335211	0.504120922985615	0.213730975142577	0.646986395705433	0.351287257738093	0.649846143585313	0.311929923416938	0.681940744847916	0.0672189101858402	0.541242810565225	0.479281193334431	0.429197379604558	0.644933656832287	0.44509025357838	0.731111350461396	0.546190909118418	0.47886581488672	0.402595686426617	0.465319447001262	0.506435563411236	0.591763067229497	0.656142802792632	0.682179351992177	0.456387201689309	0.627037653353233	0.549561602505433	0.720309292994407	0.661112381794667	0.656435308953669	0.622114998100579	0.641218891642027	0.550501751257829	0.677415761609582	0.462542742673226	0.725148253192064
CD2	0.989422796083916	0.97363877373417	0.980008371926078	0.951635398080909	0.450010818700118	0.928031530363674	0.0138457533616112	0.922489478779138	0.960319701070861	-0.289069175344217	0.178254139270419	-0.0918655470262826	0.321007530390781	0.0450331756819694	0.289369394891019	0.772981583545676	0.279931239525149	0.486622880121813	1	0.19964134972015	0.867181917923243	-0.247004397683036	-0.122723760738659	0.0785670219121074	0.604184803791913	-0.0354950806766867	-0.201425418997237	-0.337754313681757	0.351011297040056	-0.228302749960479	0.353568637968987	-0.125428899749112	0.216939580850013	-0.295282108086057	0.0919900469838461	-0.41748532843685	0.10834223295992	-0.0847930598663844	-0.293527979688081	0.203252548143636	0.331873324386219	0.805740875127662	0.956906497876147	-0.0479516743120192	-0.130064563865763	-0.036353303780083	0.226155161466409	0.220523563809676	0.243988236993714	0.206825289580408	-0.0524096127001474	0.181283622790546	-0.144206357182749	0.369598667249886	0.34266051136383	0.0539893141105929	0.146175697846059	0.131107486511163	0.0707655569276178	0.24616449186353	0.044018514942217	0.475741261105982
TNFRSF1B	0.238808075238065	0.24674356970491	0.170520560571865	0.146415663885254	0.848057712491154	0.221888113178006	0.856269111691218	0.384856807379254	0.248158470417001	0.473844919350643	0.882726122236083	0.639474758565194	0.868902160061259	0.745068565364374	0.722488815796034	0.660818105592406	0.582927378903275	0.680852745760961	0.19964134972015	1	0.47704120021661	0.629184933422216	0.395945213264572	0.883110141809371	0.620931081757915	0.892299159943227	0.751358430836699	0.441025617009176	0.765600074164878	0.434365783182165	0.807114939599087	0.764072025983277	0.863396287258245	0.638060819127986	0.857729797184968	0.387674718943853	0.844709947066852	0.731428693096818	0.706371062928643	0.844996088627371	0.741838105518482	0.623481921275344	0.267673289455193	0.855065869396171	0.720578760411688	0.711810706147294	0.806874643838974	0.825590467795991	0.857408645731596	0.788451884519259	0.620523956176641	0.815147929916229	0.79432703250675	0.715505643266634	0.759248082891255	0.854450351073714	0.858899572314034	0.890237192604605	0.794817495345253	0.714819078975583	0.442790204517122	0.655618035314428
